parcel_id,year,season,crop,area,production,yield,sowing_date,harvest_date,fertilizer,pesticide,irrigation_count
P0002,2024,Kharif,Rice,0.58,3.52,6.07,2024-10-04,2025-02-19,NPK 19:19:19,Tricyclazole,17
P0002,2024,Rabi,Rice,0.58,1.2,2.07,2024-11-07,2025-04-04,NPK 19:19:19,Chlorpyrifos,22
P0002,2024,Summer,Rice,0.58,1.53,2.64,2024-10-13,2025-02-05,DAP,Tricyclazole,16
P0003,2020,Kharif,Sugarcane,0.67,1.45,2.16,2020-11-12,2021-03-05,NPK 19:19:19,None,15
P0003,2020,Rabi,Rice,0.67,2.4,3.58,2020-10-12,2021-01-23,NPK 19:19:19,Tricyclazole,10
P0003,2020,Summer,Rice,0.67,1.54,2.3,2020-11-02,2021-03-12,MOP,Chlorpyrifos,17
P0003,2021,Kharif,Rice,0.67,3.58,5.35,2021-06-04,2021-09-21,Organic Compost,Carbendazim,9
P0003,2022,Kharif,Rice,0.67,3.75,5.59,2022-11-13,2023-03-14,NPK 19:19:19,Carbendazim,18
P0003,2023,Kharif,Rice,0.67,2.65,3.95,2023-11-25,2024-04-04,Organic Compost,None,25
P0003,2023,Rabi,Rice,0.67,2.34,3.49,2023-07-27,2023-11-28,NPK 19:19:19,Carbendazim,12
P0003,2024,Kharif,Rice,0.67,2.0,2.99,2024-11-09,2025-03-14,Urea,Carbendazim,8
P0003,2024,Rabi,Rice,0.67,2.6,3.88,2024-11-19,2025-03-11,DAP,Tricyclazole,25
P0003,2024,Summer,Rice,0.67,3.93,5.86,2024-06-03,2024-09-21,MOP,Tricyclazole,10
P0004,2020,Rabi,Groundnut,2.09,5.58,2.67,2020-11-04,2021-02-17,MOP,Carbendazim,23
P0004,2020,Summer,Rice,2.09,7.25,3.47,2020-10-21,2021-03-12,DAP,Carbendazim,15
P0004,2021,Summer,Rice,2.09,13.5,6.46,2021-10-16,2022-03-11,Urea,Carbendazim,16
P0004,2023,Kharif,Groundnut,2.09,5.73,2.74,2023-11-05,2024-02-19,Organic Compost,Carbendazim,21
P0004,2023,Rabi,Groundnut,2.09,3.36,1.61,2023-10-10,2024-01-23,Organic Compost,Tricyclazole,10
P0004,2023,Summer,Rice,2.09,5.62,2.69,2023-11-13,2024-03-19,NPK 19:19:19,None,18
P0004,2024,Kharif,Rice,2.09,12.46,5.96,2024-10-08,2025-02-16,NPK 19:19:19,Tricyclazole,14
P0004,2024,Rabi,Groundnut,2.09,6.29,3.01,2024-10-08,2025-02-24,MOP,Chlorpyrifos,18
P0004,2024,Summer,Rice,2.09,11.66,5.58,2024-06-03,2024-09-16,Urea,Chlorpyrifos,25
P0005,2020,Kharif,Rice,2.66,10.96,4.12,2020-07-02,2020-10-10,Urea,Chlorpyrifos,17
P0005,2020,Rabi,Rice,2.66,6.36,2.39,2020-10-22,2021-03-07,DAP,Carbendazim,18
P0005,2021,Kharif,Rice,2.66,15.16,5.7,2021-06-20,2021-09-28,DAP,Chlorpyrifos,20
P0005,2021,Rabi,Groundnut,2.66,4.6,1.73,2021-06-09,2021-10-24,Organic Compost,None,17
P0005,2022,Kharif,Rice,2.66,13.7,5.15,2022-07-21,2022-12-17,Urea,Tricyclazole,15
P0005,2022,Rabi,Rice,2.66,13.27,4.99,2022-11-28,2023-03-29,NPK 19:19:19,Tricyclazole,19
P0005,2022,Summer,Rice,2.66,15.08,5.67,2022-10-21,2023-03-15,NPK 19:19:19,Chlorpyrifos,17
P0005,2023,Kharif,Groundnut,2.66,7.34,2.76,2023-07-15,2023-11-01,Urea,None,9
P0005,2023,Rabi,Rice,2.66,6.84,2.57,2023-07-04,2023-11-09,Urea,Carbendazim,18
P0005,2023,Summer,Groundnut,2.66,3.48,1.31,2023-11-14,2024-03-19,Organic Compost,Carbendazim,14
P0005,2024,Kharif,Rice,2.66,7.61,2.86,2024-10-06,2025-02-08,Urea,None,9
P0005,2024,Rabi,Rice,2.66,10.88,4.09,2024-11-06,2025-03-17,NPK 19:19:19,Carbendazim,22
P0006,2020,Rabi,Groundnut,0.7,2.22,3.17,2020-10-25,2021-03-10,DAP,None,13
P0006,2020,Summer,Groundnut,0.7,0.96,1.37,2020-06-16,2020-10-15,DAP,Chlorpyrifos,24
P0006,2021,Kharif,Rice,0.7,2.72,3.88,2021-07-24,2021-11-12,Urea,Carbendazim,18
P0006,2021,Rabi,Rice,0.7,2.92,4.17,2021-10-01,2022-01-15,Organic Compost,Chlorpyrifos,14
P0006,2022,Kharif,Rice,0.7,3.33,4.76,2022-11-17,2023-04-03,Organic Compost,Chlorpyrifos,21
P0006,2022,Rabi,Rice,0.7,3.12,4.46,2022-11-24,2023-04-10,Organic Compost,Tricyclazole,9
P0006,2023,Rabi,Rice,0.7,4.33,6.18,2023-11-27,2024-04-01,Organic Compost,Chlorpyrifos,18
P0006,2023,Summer,Groundnut,0.7,2.26,3.23,2023-11-09,2024-03-07,Urea,Chlorpyrifos,16
P0006,2024,Kharif,Rice,0.7,4.4,6.28,2024-07-02,2024-10-24,NPK 19:19:19,Chlorpyrifos,20
P0007,2020,Rabi,Sugarcane,0.74,2.21,2.99,2020-06-17,2020-11-10,MOP,None,23
P0007,2020,Summer,Rice,0.74,4.33,5.85,2020-10-25,2021-02-09,NPK 19:19:19,Carbendazim,13
P0007,2021,Kharif,Rice,0.74,1.75,2.36,2021-06-22,2021-10-27,DAP,Tricyclazole,8
P0007,2021,Summer,Rice,0.74,3.71,5.02,2021-07-22,2021-11-17,NPK 19:19:19,Chlorpyrifos,21
P0007,2023,Kharif,Rice,0.74,4.39,5.93,2023-06-03,2023-09-20,Urea,Chlorpyrifos,10
P0007,2023,Rabi,Rice,0.74,2.98,4.03,2023-07-04,2023-11-29,Urea,Tricyclazole,24
P0007,2024,Kharif,Rice,0.74,1.78,2.41,2024-06-12,2024-11-09,DAP,Tricyclazole,14
P0007,2024,Rabi,Rice,0.74,4.03,5.45,2024-06-20,2024-11-17,Urea,Chlorpyrifos,12
P0008,2020,Kharif,Groundnut,1.98,3.72,1.88,2020-11-25,2021-04-14,MOP,Tricyclazole,21
P0008,2020,Summer,Groundnut,1.98,5.05,2.55,2020-07-06,2020-10-26,NPK 19:19:19,None,15
P0008,2021,Kharif,Groundnut,1.98,5.17,2.61,2021-11-13,2022-03-13,DAP,None,9
P0008,2021,Rabi,Rice,1.98,12.28,6.2,2021-10-01,2022-02-20,MOP,Tricyclazole,8
P0008,2021,Summer,Groundnut,1.98,4.93,2.49,2021-06-05,2021-09-19,Organic Compost,None,12
P0008,2022,Kharif,Rice,1.98,10.97,5.54,2022-06-20,2022-09-30,MOP,Chlorpyrifos,17
P0008,2022,Rabi,Groundnut,1.98,2.26,1.14,2022-10-02,2023-01-16,MOP,Chlorpyrifos,16
P0008,2022,Summer,Groundnut,1.98,6.83,3.45,2022-10-11,2023-02-14,Organic Compost,Carbendazim,10
P0008,2023,Kharif,Rice,1.98,12.71,6.42,2023-11-01,2024-02-10,MOP,Chlorpyrifos,10
P0008,2023,Rabi,Rice,1.98,12.65,6.39,2023-10-04,2024-01-18,MOP,Carbendazim,11
P0008,2024,Rabi,Groundnut,1.98,6.14,3.1,2024-06-09,2024-10-06,Organic Compost,None,25
P0008,2024,Summer,Rice,1.98,10.67,5.39,2024-10-04,2025-02-06,Urea,Carbendazim,21
P0009,2020,Summer,Groundnut,0.68,0.69,1.01,2020-06-04,2020-10-19,NPK 19:19:19,None,23
P0009,2021,Kharif,Groundnut,0.68,1.69,2.48,2021-06-09,2021-09-27,Organic Compost,Chlorpyrifos,10
P0009,2022,Kharif,Rice,0.68,3.59,5.28,2022-06-16,2022-10-07,DAP,Chlorpyrifos,24
P0009,2022,Summer,Rice,0.68,2.09,3.07,2022-07-16,2022-11-28,NPK 19:19:19,Chlorpyrifos,20
P0009,2023,Rabi,Rice,0.68,2.62,3.85,2023-07-13,2023-11-27,Organic Compost,Carbendazim,16
P0009,2024,Kharif,Rice,0.68,3.21,4.72,2024-11-09,2025-03-30,Urea,None,20
P0009,2024,Rabi,Rice,0.68,3.86,5.67,2024-07-19,2024-11-07,Organic Compost,None,15
P0010,2020,Rabi,Rice,0.89,2.31,2.6,2020-06-22,2020-10-25,DAP,Carbendazim,11
P0010,2020,Summer,Rice,0.89,1.83,2.06,2020-06-27,2020-11-18,Urea,Carbendazim,14
P0010,2021,Kharif,Rice,0.89,3.08,3.46,2021-06-28,2021-10-29,NPK 19:19:19,Tricyclazole,24
P0010,2021,Rabi,Sugarcane,0.89,1.21,1.36,2021-07-28,2021-12-15,NPK 19:19:19,Carbendazim,14
P0010,2021,Summer,Rice,0.89,3.53,3.97,2021-11-16,2022-03-13,MOP,None,21
P0010,2022,Kharif,Rice,0.89,3.88,4.36,2022-06-24,2022-10-31,DAP,Tricyclazole,11
P0010,2022,Rabi,Rice,0.89,3.49,3.92,2022-10-09,2023-01-28,Urea,Tricyclazole,24
P0010,2023,Kharif,Rice,0.89,4.54,5.1,2023-07-15,2023-11-04,MOP,Tricyclazole,20
P0010,2023,Summer,Sugarcane,0.89,1.42,1.59,2023-07-01,2023-11-27,NPK 19:19:19,Tricyclazole,15
P0010,2024,Kharif,Rice,0.89,3.27,3.67,2024-06-09,2024-11-02,MOP,None,16
P0010,2024,Rabi,Rice,0.89,4.05,4.55,2024-11-01,2025-02-13,Urea,Chlorpyrifos,17
P0011,2020,Rabi,Rice,1.74,4.65,2.67,2020-11-17,2021-02-25,Urea,Carbendazim,25
P0011,2020,Summer,Rice,1.74,4.94,2.84,2020-06-16,2020-10-06,MOP,Tricyclazole,16
P0011,2021,Kharif,Rice,1.74,8.72,5.01,2021-07-21,2021-11-23,Organic Compost,Carbendazim,11
P0011,2021,Rabi,Rice,1.74,10.2,5.86,2021-07-11,2021-10-21,MOP,Tricyclazole,15
P0011,2021,Summer,Sugarcane,1.74,1.81,1.04,2021-07-14,2021-11-26,Urea,None,12
P0011,2022,Rabi,Rice,1.74,11.28,6.48,2022-11-14,2023-03-28,Urea,None,25
P0011,2022,Summer,Rice,1.74,5.19,2.98,2022-07-24,2022-11-14,Urea,None,16
P0011,2023,Rabi,Rice,1.74,10.44,6.0,2023-10-21,2024-03-06,DAP,None,18
P0011,2023,Summer,Rice,1.74,9.67,5.56,2023-06-26,2023-10-20,Organic Compost,Chlorpyrifos,9
P0011,2024,Kharif,Rice,1.74,8.93,5.13,2024-07-22,2024-12-17,Urea,Tricyclazole,14
P0011,2024,Rabi,Rice,1.74,8.04,4.62,2024-06-03,2024-10-13,Organic Compost,Carbendazim,8
P0011,2024,Summer,Rice,1.74,7.83,4.5,2024-10-25,2025-03-02,DAP,None,11
P0012,2020,Kharif,Rice,1.75,9.97,5.7,2020-10-07,2021-01-26,DAP,None,13
P0012,2021,Rabi,Sugarcane,1.75,1.89,1.08,2021-07-20,2021-11-05,DAP,Carbendazim,17
P0012,2021,Summer,Sugarcane,1.75,5.39,3.08,2021-07-23,2021-11-04,DAP,Tricyclazole,20
P0012,2022,Rabi,Rice,1.75,9.52,5.44,2022-11-04,2023-02-17,DAP,None,12
P0012,2022,Summer,Sugarcane,1.75,2.92,1.67,2022-07-23,2022-11-10,Organic Compost,Carbendazim,22
P0012,2023,Rabi,Rice,1.75,8.31,4.75,2023-11-14,2024-03-04,NPK 19:19:19,Carbendazim,18
P0012,2024,Rabi,Rice,1.75,6.46,3.69,2024-07-13,2024-11-08,Organic Compost,Tricyclazole,10
P0012,2024,Summer,Rice,1.75,9.31,5.32,2024-07-02,2024-10-24,Organic Compost,None,25
P0013,2020,Kharif,Groundnut,2.74,6.44,2.35,2020-06-17,2020-10-06,DAP,Chlorpyrifos,15
P0013,2020,Rabi,Rice,2.74,6.52,2.38,2020-07-18,2020-11-30,Organic Compost,None,16
P0013,2021,Kharif,Groundnut,2.74,8.58,3.13,2021-06-14,2021-10-23,DAP,Chlorpyrifos,15
P0013,2021,Rabi,Rice,2.74,6.36,2.32,2021-07-20,2021-11-25,Organic Compost,None,18
P0013,2021,Summer,Rice,2.74,14.91,5.44,2021-10-01,2022-01-11,Urea,None,8
P0013,2022,Summer,Rice,2.74,11.4,4.16,2022-06-23,2022-10-13,Urea,Tricyclazole,25
P0013,2023,Kharif,Rice,2.74,17.67,6.45,2023-06-24,2023-10-11,MOP,Tricyclazole,11
P0013,2023,Rabi,Rice,2.74,6.52,2.38,2023-10-09,2024-01-27,DAP,Tricyclazole,17
P0013,2023,Summer,Rice,2.74,9.04,3.3,2023-07-06,2023-12-01,Organic Compost,None,18
P0013,2024,Kharif,Rice,2.74,6.03,2.2,2024-11-15,2025-02-24,Urea,None,16
P0013,2024,Rabi,Groundnut,2.74,3.34,1.22,2024-10-21,2025-02-19,Organic Compost,Carbendazim,24
P0014,2020,Kharif,Rice,2.01,11.24,5.59,2020-07-14,2020-10-31,Organic Compost,Chlorpyrifos,18
P0014,2020,Rabi,Rice,2.01,11.12,5.53,2020-10-10,2021-01-28,NPK 19:19:19,None,25
P0014,2020,Summer,Groundnut,2.01,3.22,1.6,2020-06-14,2020-10-05,Organic Compost,Tricyclazole,19
P0014,2021,Kharif,Rice,2.01,4.56,2.27,2021-07-05,2021-10-17,Urea,None,20
P0014,2021,Summer,Rice,2.01,6.35,3.16,2021-10-21,2022-03-16,DAP,Tricyclazole,23
P0014,2022,Kharif,Groundnut,2.01,5.85,2.91,2022-07-13,2022-12-05,Organic Compost,None,20
P0014,2023,Rabi,Rice,2.01,9.85,4.9,2023-07-17,2023-11-30,MOP,Tricyclazole,17
P0014,2024,Rabi,Groundnut,2.01,6.25,3.11,2024-10-24,2025-03-19,NPK 19:19:19,Chlorpyrifos,11
P0015,2020,Kharif,Rice,1.47,8.38,5.7,2020-11-28,2021-03-10,MOP,Tricyclazole,13
P0015,2020,Rabi,Rice,1.47,4.17,2.84,2020-10-28,2021-02-07,DAP,Carbendazim,18
P0015,2020,Summer,Groundnut,1.47,1.56,1.06,2020-10-07,2021-03-02,Urea,Tricyclazole,20
P0015,2021,Rabi,Rice,1.47,7.78,5.29,2021-06-25,2021-10-17,MOP,Chlorpyrifos,25
P0015,2021,Summer,Groundnut,1.47,5.04,3.43,2021-10-11,2022-03-06,NPK 19:19:19,None,18
P0015,2022,Rabi,Rice,1.47,9.0,6.12,2022-10-08,2023-01-29,DAP,Carbendazim,14
P0015,2022,Summer,Rice,1.47,5.56,3.78,2022-10-23,2023-02-07,DAP,Chlorpyrifos,11
P0015,2023,Rabi,Groundnut,1.47,1.93,1.31,2023-11-24,2024-04-22,Urea,Chlorpyrifos,15
P0015,2023,Summer,Groundnut,1.47,2.95,2.01,2023-11-07,2024-02-23,MOP,Chlorpyrifos,9
P0015,2024,Kharif,Rice,1.47,6.98,4.75,2024-06-03,2024-10-29,Organic Compost,Tricyclazole,18
P0015,2024,Rabi,Rice,1.47,8.1,5.51,2024-11-17,2025-03-23,Organic Compost,None,8
P0015,2024,Summer,Groundnut,1.47,3.63,2.47,2024-06-26,2024-10-05,MOP,Tricyclazole,11
P0016,2020,Kharif,Rice,0.96,3.36,3.5,2020-07-23,2020-11-24,NPK 19:19:19,Carbendazim,17
P0016,2020,Rabi,Rice,0.96,4.86,5.06,2020-11-01,2021-03-20,NPK 19:19:19,Carbendazim,19
P0016,2022,Rabi,Rice,0.96,2.9,3.02,2022-06-18,2022-10-14,NPK 19:19:19,Tricyclazole,18
P0016,2022,Summer,Groundnut,0.96,2.92,3.04,2022-11-07,2023-02-25,DAP,Chlorpyrifos,24
P0017,2020,Rabi,Rice,2.9,11.11,3.83,2020-07-17,2020-11-28,Urea,Carbendazim,8
P0017,2020,Summer,Rice,2.9,11.4,3.93,2020-07-16,2020-11-18,Urea,None,11
P0017,2021,Kharif,Groundnut,2.9,9.25,3.19,2021-06-02,2021-09-22,Urea,Chlorpyrifos,19
P0017,2021,Rabi,Rice,2.9,14.73,5.08,2021-06-13,2021-09-30,Urea,Carbendazim,14
P0017,2022,Summer,Rice,2.9,12.44,4.29,2022-06-27,2022-11-01,DAP,Tricyclazole,11
P0017,2023,Kharif,Groundnut,2.9,7.57,2.61,2023-11-25,2024-04-08,DAP,Chlorpyrifos,24
P0017,2023,Rabi,Rice,2.9,9.77,3.37,2023-06-04,2023-09-27,Organic Compost,None,24
P0017,2023,Summer,Groundnut,2.9,6.35,2.19,2023-10-10,2024-02-02,Organic Compost,Chlorpyrifos,21
P0017,2024,Summer,Rice,2.9,10.64,3.67,2024-06-04,2024-10-24,Urea,None,24
P0018,2020,Kharif,Rice,1.11,3.13,2.82,2020-10-10,2021-02-23,Urea,Tricyclazole,16
P0018,2020,Rabi,Groundnut,1.11,3.07,2.77,2020-11-25,2021-04-12,Organic Compost,Tricyclazole,20
P0018,2020,Summer,Rice,1.11,3.7,3.33,2020-11-03,2021-03-16,Organic Compost,Carbendazim,20
P0018,2021,Kharif,Groundnut,1.11,1.4,1.26,2021-07-11,2021-11-24,Urea,Carbendazim,14
P0018,2021,Rabi,Groundnut,1.11,3.35,3.02,2021-06-06,2021-11-02,DAP,Carbendazim,12
P0018,2021,Summer,Groundnut,1.11,3.77,3.4,2021-11-19,2022-04-03,Urea,Tricyclazole,8
P0018,2022,Kharif,Groundnut,1.11,1.43,1.29,2022-07-13,2022-11-30,NPK 19:19:19,None,22
P0018,2023,Kharif,Groundnut,1.11,2.95,2.66,2023-07-11,2023-11-30,MOP,Chlorpyrifos,24
P0018,2023,Summer,Rice,1.11,6.7,6.04,2023-10-27,2024-02-04,NPK 19:19:19,None,12
P0018,2024,Kharif,Groundnut,1.11,3.34,3.01,2024-10-01,2025-02-13,DAP,Tricyclazole,19
P0018,2024,Rabi,Groundnut,1.11,1.37,1.23,2024-11-22,2025-03-19,Organic Compost,Tricyclazole,20
P0019,2020,Kharif,Rice,2.55,14.38,5.64,2020-06-18,2020-10-26,Urea,Chlorpyrifos,14
P0019,2020,Rabi,Rice,2.55,7.98,3.13,2020-10-25,2021-02-09,DAP,Carbendazim,20
P0019,2020,Summer,Rice,2.55,8.21,3.22,2020-10-28,2021-03-09,Urea,None,13
P0019,2021,Kharif,Rice,2.55,14.87,5.83,2021-06-01,2021-10-21,NPK 19:19:19,Tricyclazole,20
P0019,2022,Kharif,Sugarcane,2.55,6.81,2.67,2022-07-03,2022-10-16,Organic Compost,Carbendazim,8
P0019,2023,Kharif,Rice,2.55,12.06,4.73,2023-06-10,2023-10-28,MOP,None,22
P0019,2023,Rabi,Rice,2.55,15.99,6.27,2023-07-28,2023-12-12,NPK 19:19:19,Chlorpyrifos,9
P0019,2023,Summer,Rice,2.55,15.38,6.03,2023-10-09,2024-01-18,NPK 19:19:19,Tricyclazole,17
P0019,2024,Kharif,Rice,2.55,9.72,3.81,2024-11-05,2025-03-31,NPK 19:19:19,Chlorpyrifos,12
P0019,2024,Summer,Rice,2.55,14.59,5.72,2024-11-24,2025-04-13,NPK 19:19:19,None,13
P0020,2020,Kharif,Rice,3.07,19.06,6.21,2020-10-01,2021-02-03,Organic Compost,Carbendazim,10
P0020,2020,Rabi,Rice,3.07,7.37,2.4,2020-07-15,2020-11-06,DAP,Carbendazim,19
P0020,2020,Summer,Rice,3.07,7.64,2.49,2020-07-12,2020-11-14,Organic Compost,None,22
P0020,2021,Rabi,Rice,3.07,8.41,2.74,2021-06-03,2021-10-19,NPK 19:19:19,None,15
P0020,2021,Summer,Rice,3.07,12.99,4.23,2021-10-05,2022-02-11,Organic Compost,Carbendazim,20
P0020,2023,Kharif,Rice,3.07,6.82,2.22,2023-10-09,2024-02-23,DAP,Carbendazim,9
P0020,2023,Summer,Rice,3.07,10.07,3.28,2023-06-14,2023-10-09,Urea,Chlorpyrifos,22
P0021,2020,Kharif,Rice,2.32,12.9,5.56,2020-07-15,2020-12-09,Organic Compost,Chlorpyrifos,13
P0021,2020,Summer,Rice,2.32,10.23,4.41,2020-11-27,2021-04-13,DAP,None,14
P0021,2021,Rabi,Groundnut,2.32,4.29,1.85,2021-07-19,2021-11-30,NPK 19:19:19,Tricyclazole,15
P0021,2021,Summer,Groundnut,2.32,3.34,1.44,2021-07-04,2021-11-13,MOP,Tricyclazole,8
P0021,2022,Rabi,Groundnut,2.32,6.4,2.76,2022-06-16,2022-11-13,Organic Compost,Tricyclazole,20
P0021,2022,Summer,Rice,2.32,5.27,2.27,2022-11-16,2023-04-09,NPK 19:19:19,Chlorpyrifos,20
P0021,2023,Kharif,Groundnut,2.32,2.34,1.01,2023-06-12,2023-11-07,Organic Compost,Chlorpyrifos,10
P0021,2023,Rabi,Groundnut,2.32,4.34,1.87,2023-07-08,2023-11-25,DAP,None,20
P0021,2023,Summer,Rice,2.32,10.28,4.43,2023-06-25,2023-10-24,NPK 19:19:19,None,16
P0021,2024,Kharif,Groundnut,2.32,6.8,2.93,2024-06-17,2024-11-05,DAP,None,12
P0021,2024,Summer,Groundnut,2.32,5.43,2.34,2024-06-18,2024-11-02,MOP,Chlorpyrifos,21
P0022,2020,Kharif,Rice,2.06,12.38,6.01,2020-06-06,2020-09-22,Urea,Carbendazim,9
P0022,2020,Rabi,Rice,2.06,10.77,5.23,2020-11-24,2021-04-11,MOP,Carbendazim,12
P0022,2021,Kharif,Rice,2.06,8.3,4.03,2021-06-10,2021-10-10,Organic Compost,Tricyclazole,9
P0022,2021,Rabi,Sugarcane,2.06,3.28,1.59,2021-06-12,2021-10-01,Organic Compost,Tricyclazole,22
P0022,2021,Summer,Rice,2.06,8.3,4.03,2021-07-01,2021-11-17,NPK 19:19:19,None,10
P0022,2022,Kharif,Sugarcane,2.06,4.59,2.23,2022-11-20,2023-04-03,Organic Compost,Chlorpyrifos,21
P0022,2022,Rabi,Rice,2.06,9.48,4.6,2022-07-11,2022-11-21,NPK 19:19:19,None,25
P0022,2023,Kharif,Sugarcane,2.06,6.14,2.98,2023-07-22,2023-12-09,MOP,None,16
P0022,2023,Rabi,Rice,2.06,9.87,4.79,2023-11-13,2024-04-07,NPK 19:19:19,None,8
P0022,2023,Summer,Rice,2.06,11.33,5.5,2023-10-18,2024-02-06,MOP,Carbendazim,16
P0022,2024,Rabi,Sugarcane,2.06,3.07,1.49,2024-11-19,2025-03-24,MOP,Carbendazim,13
P0022,2024,Summer,Rice,2.06,11.82,5.74,2024-10-26,2025-02-28,DAP,Chlorpyrifos,25
P0023,2020,Kharif,Rice,2.43,7.7,3.17,2020-10-13,2021-01-31,MOP,Chlorpyrifos,25
P0023,2020,Rabi,Sugarcane,2.43,3.45,1.42,2020-07-11,2020-11-12,Organic Compost,Chlorpyrifos,20
P0023,2020,Summer,Rice,2.43,11.52,4.74,2020-07-11,2020-11-21,MOP,None,15
P0023,2021,Kharif,Rice,2.43,5.15,2.12,2021-11-12,2022-03-15,NPK 19:19:19,Carbendazim,20
P0023,2021,Rabi,Rice,2.43,13.12,5.4,2021-06-20,2021-10-18,MOP,Carbendazim,15
P0023,2022,Rabi,Rice,2.43,10.16,4.18,2022-06-16,2022-11-01,Urea,Chlorpyrifos,24
P0023,2022,Summer,Rice,2.43,5.27,2.17,2022-07-09,2022-12-06,MOP,Chlorpyrifos,20
P0023,2023,Summer,Rice,2.43,7.22,2.97,2023-10-07,2024-01-21,DAP,Carbendazim,14
P0023,2024,Kharif,Sugarcane,2.43,5.15,2.12,2024-06-08,2024-10-13,MOP,None,8
P0023,2024,Rabi,Rice,2.43,13.63,5.61,2024-07-23,2024-12-11,MOP,None,9
P0023,2024,Summer,Rice,2.43,10.64,4.38,2024-11-13,2025-04-01,Urea,Tricyclazole,25
P0024,2020,Rabi,Groundnut,1.21,2.3,1.9,2020-11-01,2021-02-26,DAP,Carbendazim,20
P0024,2021,Summer,Groundnut,1.21,3.82,3.16,2021-11-02,2022-03-02,Organic Compost,Tricyclazole,22
P0024,2022,Kharif,Rice,1.21,3.17,2.62,2022-10-28,2023-02-15,MOP,Carbendazim,16
P0024,2022,Rabi,Rice,1.21,7.14,5.9,2022-11-12,2023-04-11,Organic Compost,Carbendazim,13
P0024,2022,Summer,Rice,1.21,4.76,3.93,2022-06-03,2022-10-25,MOP,None,12
P0024,2023,Kharif,Rice,1.21,6.79,5.61,2023-06-02,2023-09-19,MOP,Chlorpyrifos,15
P0024,2024,Kharif,Rice,1.21,2.8,2.31,2024-10-28,2025-02-25,Urea,Carbendazim,18
P0024,2024,Rabi,Groundnut,1.21,1.77,1.46,2024-11-18,2025-04-14,Urea,Carbendazim,17
P0025,2020,Kharif,Sugarcane,2.3,8.03,3.49,2020-11-19,2021-04-07,NPK 19:19:19,Chlorpyrifos,23
P0025,2020,Rabi,Rice,2.3,12.76,5.55,2020-11-15,2021-04-04,MOP,Tricyclazole,12
P0025,2020,Summer,Rice,2.3,14.79,6.43,2020-10-28,2021-03-09,DAP,Carbendazim,17
P0025,2021,Rabi,Rice,2.3,12.95,5.63,2021-07-23,2021-12-04,Urea,Chlorpyrifos,14
P0025,2021,Summer,Rice,2.3,13.68,5.95,2021-07-20,2021-11-06,Urea,Carbendazim,10
P0025,2022,Rabi,Rice,2.3,9.66,4.2,2022-07-14,2022-11-07,DAP,Tricyclazole,19
P0025,2023,Rabi,Rice,2.3,6.46,2.81,2023-11-06,2024-04-04,MOP,Tricyclazole,22
P0025,2024,Kharif,Rice,2.3,8.53,3.71,2024-10-16,2025-02-01,Organic Compost,None,18
P0026,2020,Kharif,Sugarcane,0.89,1.42,1.6,2020-11-22,2021-04-06,Urea,Tricyclazole,9
