parcel_id,farmer_id,district,taluk,village,survey_no,subdivision_no,area,latitude,longitude,land_category,irrigation_source,soil_type
P0019,F0306,Thanjavur,Papanasam,Budalur,396/19,3,2.55,10.769384,79.161827,Garden Land,Canal,Clay Loam
P0020,F0211,Thanjavur,Orathanadu,Ayyampettai,229/5,2,3.07,10.959384,79.496243,Wetland,Tank,Clay Loam
P0021,F0347,Cuddalore,Cuddalore,Parangipettai,742/14,4,2.32,11.49635,79.471086,Dryland,Canal,Clay
P0022,F0207,Thanjavur,Thanjavur,Thiruvaiyaru,477/15,4,2.06,10.757807,79.139113,Dryland,Rainfed,Clay
P0023,F0048,Thanjavur,Kumbakonam,Melattur,466/3,5,2.43,10.865466,79.229225,Dryland,Borewell,Sandy Loam
P0024,F0109,Cuddalore,Cuddalore,Kumaratchi,660/19,2,1.21,11.547357,79.561433,Garden Land,River,Loam
P0025,F0350,Thanjavur,Papanasam,Budalur,956/15,1,2.3,10.881127,79.022971,Wetland,Borewell,Sandy Loam
P0026,F0234,Thanjavur,Orathanadu,Ammapettai,805/5,3,0.89,10.500338,79.479016,Wetland,Tank,Clay
P0027,F0336,Cuddalore,Cuddalore,Parangipettai,764/6,1,2.43,11.480218,79.44121,Dryland,Tank,Clay Loam
P0028,F0220,Cuddalore,Cuddalore,Parangipettai,588/3,2,0.3,11.627743,79.751849,Garden Land,Borewell,Alluvial
P0029,F0349,Cuddalore,Virudhachalam,Nallur,223/14,2,0.4,11.522533,79.404031,Dryland,Canal,Clay Loam
P0030,F0197,Thanjavur,Papanasam,Ammapettai,476/10,2,0.6,10.544666,79.402978,Dryland,Borewell,Clay Loam
P0031,F0036,Thanjavur,Thanjavur,Ayyampettai,550/12,2,0.76,10.765254,79.004237,Garden Land,Borewell,Sandy Loam
P0032,F0316,Thanjavur,Thanjavur,Ammapettai,202/5,1,0.58,10.843283,79.429981,Garden Land,River,Loam
P0033,F0220,Cuddalore,Cuddalore,Parangipettai,186/8,5,1.19,11.457252,79.469915,Garden Land,Rainfed,Alluvial
P0034,F0146,Thanjavur,Papanasam,Thiruvaiyaru,774/10,2,3.01,10.889485,79.345238,Garden Land,Rainfed,Alluvial
P0035,F0097,Thanjavur,Thanjavur,Ayyampettai,912/8,4,0.36,10.873922,79.147771,Dryland,Canal,Clay Loam
P0036,F0256,Thanjavur,Papanasam,Budalur,112/12,3,3.14,10.819041,79.035506,Wetland,River,Alluvial
P0037,F0216,Cuddalore,Cuddalore,Parangipettai,888/3,1,2.74,11.482706,79.741471,Garden Land,Canal,Clay
P0038,F0135,Thanjavur,Kumbakonam,Melattur,507/17,3,3.34,10.607871,79.46129,Garden Land,Rainfed,Sandy Loam
P0039,F0217,Cuddalore,Chidambaram,Kurinjipadi,730/5,3,0.66,11.650905,79.441214,Wetland,Tank,Clay
P0040,F0262,Cuddalore,Virudhachalam,Kurinjipadi,434/13,5,0.8,11.760462,79.887157,Garden Land,Canal,Loam
P0041,F0224,Cuddalore,Virudhachalam,Parangipettai,188/14,1,0.49,11.664979,79.823234,Dryland,Rainfed,Alluvial
P0042,F0029,Thanjavur,Kumbakonam,Budalur,222/1,2,1.47,10.654645,79.370847,Garden Land,Canal,Clay Loam
P0043,F0255,Cuddalore,Chidambaram,Sethiathope,838/9,2,2.81,11.776508,79.661503,Dryland,Borewell,Loam
P0044,F0061,Thanjavur,Papanasam,Ayyampettai,378/17,1,2.88,10.885715,79.014678,Dryland,Rainfed,Clay
P0045,F0255,Cuddalore,Chidambaram,Sethiathope,680/6,3,1.9,11.527599,79.580062,Wetland,Tank,Clay
P0046,F0294,Thanjavur,Thanjavur,Thiruvaiyaru,102/2,1,2.67,10.83706,79.057667,Wetland,Canal,Sandy Loam
P0047,F0187,Cuddalore,Chidambaram,Kumaratchi,978/2,5,0.96,11.49149,79.475042,Garden Land,River,Clay Loam
P0048,F0165,Cuddalore,Virudhachalam,Nallur,945/3,5,1.11,11.424132,79.857927,Dryland,Canal,Alluvial
P0049,F0345,Cuddalore,Virudhachalam,Kumaratchi,147/13,1,1.3,11.750971,79.489672,Dryland,Tank,Loam
P0050,F0168,Thanjavur,Papanasam,Budalur,398/19,3,1.48,10.543193,79.228373,Garden Land,Rainfed,Clay Loam
P0051,F0238,Thanjavur,Kumbakonam,Melattur,894/7,5,2.91,10.684137,79.485929,Wetland,Borewell,Clay
P0052,F0210,Thanjavur,Orathanadu,Ammapettai,810/1,3,2.34,10.511955,79.270773,Wetland,River,Loam
P0053,F0054,Cuddalore,Panruti,Nallur,161/5,3,0.72,11.402597,79.891558,Wetland,Canal,Clay Loam
P0054,F0267,Cuddalore,Panruti,Nallur,865/3,5,1.77,11.506528,79.847789,Wetland,Rainfed,Clay Loam
P0055,F0327,Cuddalore,Panruti,Kurinjipadi,545/5,2,2.12,11.709981,79.437415,Dryland,Tank,Loam
P0056,F0202,Thanjavur,Orathanadu,Budalur,378/8,1,1.32,10.850363,79.367676,Wetland,Borewell,Alluvial
P0057,F0056,Cuddalore,Chidambaram,Parangipettai,516/4,5,1.79,11.377705,79.482187,Dryland,Borewell,Sandy Loam
P0058,F0158,Cuddalore,Panruti,Nallur,926/10,5,0.44,11.531673,79.826241,Wetland,Borewell,Loam
P0059,F0076,Cuddalore,Cuddalore,Kumaratchi,625/2,3,0.73,11.345606,79.524109,Dryland,Borewell,Clay
P0060,F0208,Cuddalore,Chidambaram,Nallur,196/15,1,1.59,11.727301,79.677977,Wetland,Canal,Clay
P0061,F0032,Thanjavur,Orathanadu,Ammapettai,943/13,3,0.72,10.915186,79.491284,Garden Land,Canal,Alluvial
P0062,F0301,Thanjavur,Orathanadu,Ammapettai,166/7,4,0.37,10.62941,79.406374,Wetland,Canal,Loam
P0063,F0063,Cuddalore,Virudhachalam,Kumaratchi,687/14,4,0.84,11.321348,79.630497,Dryland,Canal,Sandy Loam
P0064,F0350,Thanjavur,Papanasam,Budalur,381/9,4,3.21,10.713332,79.176972,Wetland,Canal,Alluvial
P0065,F0318,Cuddalore,Cuddalore,Nallur,663/16,1,1.9,11.608489,79.723639,Wetland,Tank,Sandy Loam
P0066,F0071,Thanjavur,Orathanadu,Budalur,355/18,1,2.44,10.709617,79.321326,Dryland,Tank,Sandy Loam
P0067,F0279,Thanjavur,Orathanadu,Budalur,429/13,3,2.11,10.890718,79.172017,Wetland,Canal,Loam
P0068,F0306,Thanjavur,Papanasam,Budalur,159/16,5,2.79,10.60951,79.447882,Dryland,Rainfed,Clay Loam
P0069,F0082,Thanjavur,Papanasam,Ammapettai,935/2,2,1.15,10.550067,79.328432,Garden Land,River,Loam
P0070,F0089,Cuddalore,Cuddalore,Kumaratchi,814/12,5,2.88,11.38805,79.69626,Wetland,Tank,Alluvial
P0071,F0289,Thanjavur,Papanasam,Ammapettai,929/16,5,2.95,10.571051,79.474184,Dryland,Borewell,Sandy Loam
P0072,F0020,Thanjavur,Thanjavur,Budalur,639/16,1,1.0,10.545129,79.116312,Dryland,Rainfed,Clay Loam
P0073,F0067,Cuddalore,Virudhachalam,Sethiathope,989/11,1,2.87,11.47038,79.48873,Wetland,Borewell,Alluvial
P0074,F0073,Cuddalore,Cuddalore,Parangipettai,174/12,4,2.4,11.687183,79.82324,Garden Land,Canal,Loam
P0075,F0155,Thanjavur,Kumbakonam,Ammapettai,547/16,3,2.64,10.661302,79.48793,Wetland,Rainfed,Alluvial
P0076,F0183,Cuddalore,Virudhachalam,Parangipettai,414/10,2,0.86,11.411619,79.694475,Wetland,Canal,Alluvial
P0077,F0201,Cuddalore,Chidambaram,Sethiathope,286/20,3,1.43,11.725378,79.785415,Garden Land,Borewell,Alluvial
P0078,F0054,Cuddalore,Panruti,Nallur,343/12,3,1.05,11.768344,79.470322,Wetland,Canal,Loam
P0079,F0229,Cuddalore,Panruti,Parangipettai,458/9,1,1.73,11.305698,79.504842,Garden Land,Canal,Clay
P0080,F0198,Cuddalore,Chidambaram,Kurinjipadi,523/16,4,0.83,11.51911,79.609827,Dryland,Rainfed,Sandy Loam
P0081,F0052,Thanjavur,Thanjavur,Melattur,876/8,2,2.14,10.914403,79.394365,Dryland,Canal,Clay
P0082,F0151,Thanjavur,Orathanadu,Thiruvaiyaru,450/6,4,0.35,10.510039,79.130564,Wetland,Canal,Alluvial
P0083,F0048,Thanjavur,Kumbakonam,Melattur,821/1,4,3.16,10.668975,79.492638,Garden Land,Borewell,Alluvial
P0084,F0223,Cuddalore,Cuddalore,Parangipettai,294/14,5,0.96,11.378552,79.450629,Garden Land,Rainfed,Loam
P0085,F0339,Thanjavur,Papanasam,Melattur,685/18,4,0.46,10.640762,79.118774,Wetland,Canal,Loam
P0086,F0002,Thanjavur,Thanjavur,Ammapettai,714/16,2,0.9,10.713803,79.147275,Wetland,Canal,Clay Loam
P0087,F0088,Thanjavur,Orathanadu,Melattur,218/10,4,1.82,10.819095,79.488529,Dryland,River,Loam
P0088,F0047,Cuddalore,Virudhachalam,Kurinjipadi,490/12,2,0.49,11.620933,79.593764,Dryland,Canal,Loam
P0089,F0226,Thanjavur,Kumbakonam,Ayyampettai,163/5,1,1.16,10.732529,79.113121,Wetland,Tank,Alluvial
P0090,F0212,Cuddalore,Chidambaram,Kurinjipadi,960/13,5,1.62,11.785353,79.694863,Dryland,Rainfed,Sandy Loam
P0091,F0294,Thanjavur,Thanjavur,Thiruvaiyaru,974/2,5,0.55,10.940827,79.238131,Garden Land,Rainfed,Alluvial
P0092,F0347,Cuddalore,Cuddalore,Parangipettai,559/6,2,3.34,11.791377,79.473724,Wetland,Borewell,Clay Loam
P0093,F0022,Thanjavur,Papanasam,Budalur,942/5,5,1.69,10.711687,79.49414,Dryland,Tank,Clay
P0094,F0045,Thanjavur,Papanasam,Melattur,382/17,4,1.34,10.69405,79.198677,Wetland,Rainfed,Alluvial
P0095,F0268,Cuddalore,Chidambaram,Parangipettai,680/19,5,0.38,11.690843,79.456259,Wetland,Canal,Alluvial
P0096,F0052,Thanjavur,Thanjavur,Melattur,998/14,3,3.11,10.892873,79.433738,Dryland,River,Alluvial
P0097,F0312,Thanjavur,Thanjavur,Thiruvaiyaru,733/20,4,1.59,10.736523,79.0861,Wetland,River,Loam
P0098,F0122,Thanjavur,Thanjavur,Thiruvaiyaru,481/1,3,1.16,10.524645,79.237609,Dryland,Tank,Loam
P0099,F0252,Cuddalore,Cuddalore,Kumaratchi,333/5,3,0.86,11.729117,79.742426,Garden Land,River,Loam
P0100,F0138,Cuddalore,Chidambaram,Kumaratchi,552/7,4,0.59,11.6644,79.70249,Garden Land,River,Alluvial
P0101,F0192,Thanjavur,Thanjavur,Melattur,418/17,4,0.81,10.910509,79.257635,Wetland,Rainfed,Alluvial
P0102,F0015,Thanjavur,Thanjavur,Budalur,159/8,1,0.91,10.586869,79.43759,Dryland,Canal,Loam
P0103,F0102,Thanjavur,Kumbakonam,Ayyampettai,750/4,1,1.84,10.636989,79.411753,Wetland,Tank,Sandy Loam
P0104,F0305,Thanjavur,Thanjavur,Budalur,664/12,3,1.82,10.723052,79.48026,Wetland,Tank,Clay
P0105,F0146,Thanjavur,Papanasam,Thiruvaiyaru,898/7,2,3.03,10.513725,79.024826,Garden Land,Borewell,Clay Loam
P0106,F0138,Cuddalore,Chidambaram,Kumaratchi,885/1,4,3.07,11.625794,79.656641,Wetland,Borewell,Alluvial
P0107,F0005,Cuddalore,Cuddalore,Kumaratchi,829/9,4,1.18,11.411885,79.704172,Dryland,Tank,Sandy Loam
P0108,F0130,Cuddalore,Panruti,Sethiathope,738/13,5,1.89,11.409105,79.551073,Wetland,Canal,Alluvial
P0109,F0340,Thanjavur,Thanjavur,Melattur,708/20,3,1.69,10.983243,79.419689,Dryland,Canal,Sandy Loam
P0110,F0033,Cuddalore,Virudhachalam,Sethiathope,383/9,3,1.34,11.468142,79.538242,Wetland,Borewell,Alluvial
P0111,F0124,Cuddalore,Virudhachalam,Sethiathope,714/13,3,2.87,11.749844,79.802715,Garden Land,Borewell,Clay
P0112,F0336,Cuddalore,Cuddalore,Parangipettai,514/13,1,3.2,11.548686,79.547802,Garden Land,Rainfed,Clay Loam
P0113,F0176,Thanjavur,Papanasam,Budalur,903/16,3,0.85,10.863275,79.111182,Garden Land,Tank,Clay Loam
P0114,F0337,Thanjavur,Orathanadu,Melattur,231/9,5,0.42,10.938247,79.090568,Wetland,Tank,Clay
P0115,F0114,Thanjavur,Papanasam,Budalur,907/11,3,1.28,10.677642,79.372105,Dryland,Rainfed,Loam
P0116,F0238,Thanjavur,Kumbakonam,Melattur,697/19,5,2.57,10.925607,79.235268,Wetland,River,Clay Loam
P0117,F0257,Thanjavur,Papanasam,Melattur,523/2,2,1.97,10.559908,79.340349,Wetland,Borewell,Loam
P0118,F0210,Thanjavur,Orathanadu,Ammapettai,246/11,2,3.46,10.993596,79.446423,Wetland,River,Loam
P0119,F0324,Cuddalore,Cuddalore,Sethiathope,562/9,2,0.49,11.79332,79.556707,Wetland,Rainfed,Clay Loam
P0120,F0251,Cuddalore,Cuddalore,Nallur,544/14,4,0.71,11.692605,79.789876,Dryland,River,Sandy Loam
P0121,F0003,Thanjavur,Orathanadu,Melattur,114/11,5,1.49,10.518863,79.099707,Wetland,Canal,Clay
P0122,F0321,Cuddalore,Panruti,Kumaratchi,419/5,1,0.99,11.666802,79.513133,Dryland,Rainfed,Alluvial
P0123,F0157,Thanjavur,Papanasam,Melattur,397/15,5,0.6,10.58351,79.411922,Garden Land,Rainfed,Loam
P0124,F0223,Cuddalore,Cuddalore,Parangipettai,601/12,2,1.4,11.743987,79.897736,Wetland,River,Clay
P0125,F0117,Cuddalore,Cuddalore,Kurinjipadi,122/19,5,0.76,11.412161,79.89244,Wetland,Canal,Loam
P0126,F0334,Cuddalore,Panruti,Nallur,889/18,5,1.06,11.696064,79.587596,Wetland,Rainfed,Clay
P0127,F0339,Thanjavur,Papanasam,Melattur,218/14,4,0.45,10.554057,79.41806,Dryland,Canal,Alluvial
P0128,F0130,Cuddalore,Panruti,Sethiathope,745/1,3,2.42,11.537198,79.476564,Dryland,Canal,Alluvial
P0129,F0139,Cuddalore,Virudhachalam,Parangipettai,207/17,5,0.41,11.611399,79.750363,Wetland,Tank,Clay
P0130,F0055,Cuddalore,Cuddalore,Kumaratchi,951/17,2,2.79,11.54887,79.704501,Dryland,River,Loam
P0131,F0083,Cuddalore,Chidambaram,Nallur,592/11,2,0.96,11.319703,79.648177,Wetland,Canal,Clay
P0132,F0057,Thanjavur,Papanasam,Budalur,192/17,1,0.7,10.917616,79.334511,Garden Land,Canal,Loam
P0133,F0330,Cuddalore,Cuddalore,Parangipettai,575/2,1,1.25,11.41558,79.894333,Wetland,Canal,Loam
P0134,F0185,Thanjavur,Thanjavur,Melattur,197/2,1,1.87,10.900798,79.156354,Wetland,Borewell,Loam
P0135,F0184,Thanjavur,Thanjavur,Ayyampettai,850/3,3,1.16,10.947264,79.477545,Dryland,Borewell,Clay
P0136,F0206,Thanjavur,Papanasam,Ammapettai,806/16,4,2.97,10.700125,79.228269,Garden Land,Borewell,Clay
P0137,F0068,Cuddalore,Panruti,Kurinjipadi,263/4,4,3.32,11.648085,79.429323,Garden Land,River,Alluvial
P0138,F0348,Thanjavur,Kumbakonam,Thiruvaiyaru,726/1,2,1.43,10.719081,79.305662,Dryland,River,Clay
P0139,F0211,Thanjavur,Orathanadu,Ayyampettai,112/17,5,2.4,10.720344,79.031668,Garden Land,Rainfed,Clay Loam
P0140,F0343,Cuddalore,Chidambaram,Parangipettai,733/4,4,2.38,11.736572,79.65955,Garden Land,Borewell,Sandy Loam
P0141,F0178,Cuddalore,Chidambaram,Parangipettai,946/18,5,0.65,11.631855,79.720702,Wetland,Canal,Clay Loam
P0142,F0259,Thanjavur,Papanasam,Ammapettai,176/16,3,3.08,10.924423,79.425936,Wetland,Tank,Loam
P0143,F0026,Thanjavur,Kumbakonam,Budalur,936/8,1,1.51,10.753465,79.275248,Dryland,River,Alluvial
P0144,F0230,Thanjavur,Orathanadu,Ayyampettai,609/1,1,0.64,10.54401,79.249228,Dryland,River,Clay
P0145,F0286,Cuddalore,Cuddalore,Nallur,733/10,5,2.83,11.574549,79.812954,Garden Land,Borewell,Sandy Loam
P0146,F0175,Thanjavur,Orathanadu,Budalur,565/11,5,1.01,10.681671,79.027138,Garden Land,Rainfed,Sandy Loam
P0147,F0337,Thanjavur,Orathanadu,Melattur,774/8,1,0.42,10.681647,79.226266,Dryland,Tank,Loam
P0148,F0281,Cuddalore,Virudhachalam,Parangipettai,268/16,2,0.45,11.560993,79.751048,Garden Land,River,Clay
P0149,F0131,Cuddalore,Cuddalore,Kurinjipadi,502/7,4,3.28,11.605426,79.493772,Wetland,Tank,Clay
P0150,F0213,Thanjavur,Kumbakonam,Ammapettai,226/15,4,2.45,10.52325,79.31662,Garden Land,Rainfed,Alluvial
P0151,F0069,Cuddalore,Panruti,Kumaratchi,666/14,5,0.87,11.781927,79.402169,Dryland,Rainfed,Clay Loam
P0152,F0297,Thanjavur,Thanjavur,Budalur,773/20,5,0.63,10.586825,79.407622,Dryland,Rainfed,Sandy Loam
P0153,F0215,Thanjavur,Thanjavur,Thiruvaiyaru,380/13,3,1.83,10.98975,79.457955,Dryland,River,Clay Loam
P0154,F0071,Thanjavur,Orathanadu,Budalur,406/18,3,2.31,10.706373,79.350007,Garden Land,Rainfed,Clay Loam
P0155,F0103,Cuddalore,Cuddalore,Sethiathope,788/5,2,2.5,11.404856,79.757192,Garden Land,Rainfed,Loam
P0156,F0060,Cuddalore,Virudhachalam,Kumaratchi,783/14,5,2.16,11.680388,79.68114,Dryland,River,Clay
P0157,F0268,Cuddalore,Chidambaram,Parangipettai,157/7,3,0.33,11.353235,79.590435,Wetland,Tank,Loam
P0158,F0075,Cuddalore,Chidambaram,Kumaratchi,871/18,1,1.24,11.719691,79.745297,Dryland,River,Clay
P0159,F0316,Thanjavur,Thanjavur,Ammapettai,860/18,4,3.07,10.934018,79.369746,Wetland,Rainfed,Loam
P0160,F0341,Cuddalore,Virudhachalam,Parangipettai,907/11,5,1.63,11.32349,79.590791,Wetland,Canal,Loam
P0161,F0104,Thanjavur,Papanasam,Ammapettai,949/8,3,1.5,10.810281,79.390462,Garden Land,Rainfed,Alluvial
P0162,F0101,Thanjavur,Kumbakonam,Ayyampettai,281/3,2,1.24,10.888073,79.482145,Wetland,Rainfed,Clay
P0163,F0194,Thanjavur,Thanjavur,Thiruvaiyaru,264/19,3,0.54,10.520317,79.139556,Wetland,Tank,Sandy Loam
P0164,F0080,Thanjavur,Thanjavur,Ayyampettai,892/20,3,1.1,10.51997,79.464314,Dryland,Rainfed,Alluvial
P0165,F0184,Thanjavur,Thanjavur,Ayyampettai,288/17,1,1.98,10.53644,79.353841,Garden Land,Borewell,Sandy Loam
P0166,F0279,Thanjavur,Orathanadu,Budalur,318/11,3,1.01,10.768518,79.045973,Dryland,Tank,Clay Loam
P0167,F0317,Thanjavur,Kumbakonam,Ammapettai,764/1,1,1.82,10.765249,79.498316,Garden Land,Tank,Sandy Loam
P0168,F0124,Cuddalore,Virudhachalam,Sethiathope,140/11,4,2.29,11.752248,79.706851,Wetland,River,Loam
P0169,F0277,Thanjavur,Papanasam,Melattur,888/12,5,1.95,10.861988,79.012353,Garden Land,River,Sandy Loam
P0170,F0023,Cuddalore,Chidambaram,Kurinjipadi,184/4,2,0.52,11.448217,79.725764,Garden Land,Rainfed,Clay
P0171,F0321,Cuddalore,Panruti,Kumaratchi,985/14,1,0.91,11.332736,79.735168,Wetland,Rainfed,Sandy Loam
P0172,F0332,Cuddalore,Cuddalore,Nallur,124/15,3,1.82,11.708377,79.43606,Wetland,Canal,Clay
P0173,F0028,Thanjavur,Orathanadu,Thiruvaiyaru,941/8,3,0.53,10.588996,79.125954,Dryland,River,Sandy Loam
P0174,F0323,Cuddalore,Virudhachalam,Nallur,221/18,1,1.55,11.502224,79.558202,Garden Land,Rainfed,Clay
P0175,F0300,Thanjavur,Orathanadu,Thiruvaiyaru,614/4,3,1.11,10.522758,79.424126,Garden Land,Tank,Alluvial
P0176,F0045,Thanjavur,Papanasam,Melattur,941/1,4,1.52,10.640759,79.463345,Wetland,Rainfed,Clay Loam
P0177,F0070,Cuddalore,Cuddalore,Kurinjipadi,402/5,3,1.43,11.673377,79.798385,Garden Land,Tank,Clay
P0178,F0284,Thanjavur,Kumbakonam,Budalur,686/20,4,0.36,10.937383,79.070687,Garden Land,Rainfed,Clay
P0179,F0157,Thanjavur,Papanasam,Melattur,316/14,5,1.04,10.605026,79.370715,Wetland,Borewell,Clay Loam
P0180,F0114,Thanjavur,Papanasam,Budalur,787/19,1,0.67,10.808442,79.126371,Garden Land,River,Alluvial
P0181,F0038,Cuddalore,Panruti,Kurinjipadi,843/19,4,0.52,11.445326,79.433681,Dryland,Tank,Clay Loam
P0182,F0344,Thanjavur,Thanjavur,Budalur,298/11,4,2.28,10.827736,79.050023,Dryland,Tank,Alluvial
P0183,F0338,Thanjavur,Kumbakonam,Budalur,473/11,4,1.58,10.652838,79.292085,Wetland,Canal,Loam
P0184,F0127,Thanjavur,Thanjavur,Melattur,383/12,2,2.35,10.89283,79.3561,Garden Land,Tank,Sandy Loam
P0185,F0237,Cuddalore,Chidambaram,Kurinjipadi,211/6,5,1.86,11.522679,79.787383,Wetland,Tank,Clay Loam
P0186,F0276,Thanjavur,Thanjavur,Thiruvaiyaru,844/3,1,1.76,10.598216,79.366772,Garden Land,Canal,Alluvial
P0187,F0042,Thanjavur,Thanjavur,Ammapettai,245/3,1,1.2,10.7867,79.1378,Wetland,Canal,Clay Loam
P0188,F0188,Cuddalore,Panruti,Sethiathope,977/10,2,0.75,11.496249,79.845719,Dryland,Rainfed,Alluvial
P0189,F0047,Cuddalore,Virudhachalam,Kurinjipadi,968/20,2,0.64,11.498393,79.651084,Garden Land,Borewell,Sandy Loam
P0190,F0082,Thanjavur,Papanasam,Ammapettai,249/16,3,2.41,10.589573,79.474356,Wetland,Borewell,Sandy Loam
P0191,F0119,Thanjavur,Thanjavur,Ayyampettai,311/17,3,0.44,10.531431,79.184718,Dryland,River,Sandy Loam
P0192,F0024,Thanjavur,Thanjavur,Ammapettai,633/9,3,0.63,10.519952,79.324262,Garden Land,Rainfed,Alluvial
P0193,F0090,Cuddalore,Panruti,Parangipettai,955/3,5,2.18,11.48833,79.589259,Dryland,River,Clay Loam
P0194,F0265,Cuddalore,Virudhachalam,Kurinjipadi,911/16,5,1.4,11.502921,79.808618,Wetland,Rainfed,Clay Loam
P0195,F0226,Thanjavur,Kumbakonam,Ayyampettai,316/5,2,2.36,10.582803,79.038544,Wetland,Tank,Alluvial
P0196,F0061,Thanjavur,Papanasam,Ayyampettai,216/16,4,1.36,10.830555,79.207307,Dryland,Borewell,Alluvial
P0197,F0083,Cuddalore,Chidambaram,Nallur,230/19,5,1.08,11.62363,79.60545,Wetland,Borewell,Alluvial
P0198,F0021,Thanjavur,Kumbakonam,Thiruvaiyaru,284/17,4,0.83,10.945399,79.073433,Garden Land,Rainfed,Clay
P0199,F0339,Thanjavur,Papanasam,Melattur,721/16,4,0.99,10.910652,79.473627,Wetland,Borewell,Sandy Loam
P0200,F0308,Thanjavur,Kumbakonam,Ammapettai,738/17,3,2.76,10.571356,79.291323,Wetland,Tank,Sandy Loam
P0201,F0306,Thanjavur,Papanasam,Budalur,211/1,2,1.53,10.795298,79.114907,Garden Land,Rainfed,Sandy Loam
P0202,F0077,Cuddalore,Panruti,Kurinjipadi,714/2,5,3.19,11.602756,79.488711,Garden Land,Canal,Clay
P0203,F0247,Thanjavur,Papanasam,Budalur,101/14,5,2.03,10.829696,79.450992,Dryland,Tank,Clay
P0204,F0272,Thanjavur,Kumbakonam,Budalur,887/13,3,1.84,10.714478,79.469211,Garden Land,Rainfed,Clay
P0205,F0218,Thanjavur,Kumbakonam,Ammapettai,979/3,3,0.9,10.566942,79.238571,Garden Land,Rainfed,Sandy Loam
P0206,F0132,Thanjavur,Thanjavur,Ammapettai,691/17,1,2.83,10.594511,79.354574,Garden Land,Canal,Sandy Loam
P0207,F0336,Cuddalore,Cuddalore,Parangipettai,209/5,4,1.61,11.402709,79.802144,Garden Land,Rainfed,Loam
P0208,F0134,Cuddalore,Chidambaram,Kurinjipadi,382/13,2,0.59,11.727488,79.611781,Dryland,Rainfed,Alluvial
P0209,F0248,Thanjavur,Papanasam,Melattur,414/19,3,1.85,10.58936,79.279547,Garden Land,River,Clay Loam
P0210,F0338,Thanjavur,Kumbakonam,Budalur,265/4,2,2.08,10.559543,79.114886,Garden Land,River,Loam
P0211,F0282,Thanjavur,Papanasam,Melattur,498/1,1,0.33,10.807013,79.342282,Wetland,River,Alluvial
P0212,F0223,Cuddalore,Cuddalore,Parangipettai,723/2,4,1.49,11.34407,79.531546,Dryland,Rainfed,Alluvial
P0213,F0147,Thanjavur,Thanjavur,Ayyampettai,939/6,4,3.33,10.855803,79.298736,Dryland,Canal,Clay Loam
P0214,F0337,Thanjavur,Orathanadu,Melattur,902/20,5,0.54,10.965379,79.259077,Garden Land,Borewell,Alluvial
P0215,F0087,Cuddalore,Virudhachalam,Sethiathope,261/3,3,1.75,11.637012,79.57987,Dryland,Tank,Sandy Loam
