parcel_id,sample_date,pH,nitrogen,phosphorus,potassium,organic_carbon,electrical_conductivity,soil_type
P0041,2025-01-04,6.86,161.0,31.3,170.7,0.41,1.12,Alluvial
P0041,2024-05-13,6.93,244.9,28.5,195.8,1.01,1.35,Alluvial
P0042,2024-09-27,7.25,298.2,59.8,231.6,1.44,1.86,Clay Loam
P0042,2025-03-02,7.97,160.4,16.4,236.5,0.46,1.79,Clay Loam
P0043,2024-04-30,7.58,247.5,11.6,114.5,0.97,2.31,Loam
P0043,2024-05-01,7.3,234.4,16.0,205.8,0.35,0.47,Loam
P0043,2025-01-15,6.41,224.8,24.7,86.2,0.47,1.98,Loam
P0044,2024-02-19,8.31,205.4,24.2,120.3,1.19,0.11,Clay
P0044,2025-07-14,6.55,363.7,30.9,206.1,0.98,2.26,Clay
P0045,2025-05-01,8.0,353.4,16.6,110.5,1.06,1.93,Clay
P0045,2025-11-14,6.85,362.6,26.3,256.0,1.1,1.08,Clay
P0046,2025-02-08,6.52,132.8,43.5,177.5,0.63,0.31,Sandy Loam
P0047,2024-01-26,7.22,342.9,45.4,203.4,0.45,1.44,Clay Loam
P0048,2025-09-25,7.13,332.1,57.9,194.8,1.2,1.31,Alluvial
P0049,2024-05-03,7.47,268.9,58.1,140.5,0.55,2.09,Loam
P0050,2025-03-30,5.75,269.4,26.0,209.6,0.89,2.34,Clay Loam
P0050,2024-12-14,6.81,236.2,53.0,149.8,0.61,0.38,Clay Loam
P0050,2024-04-11,7.13,199.9,19.1,249.0,0.49,2.39,Clay Loam
P0051,2024-06-22,5.68,389.1,19.1,236.9,0.66,0.34,Clay
P0051,2024-05-25,6.74,210.8,28.8,262.1,0.45,0.59,Clay
P0051,2025-09-03,7.26,258.0,47.6,164.7,0.44,0.25,Clay
P0052,2025-07-20,6.72,255.6,30.4,131.4,1.36,0.75,Loam
P0052,2025-08-23,7.53,189.0,37.7,252.7,0.67,1.08,Loam
P0053,2025-10-13,7.0,339.2,17.1,198.9,0.5,0.69,Clay Loam
P0054,2025-07-22,6.86,120.3,33.2,262.5,0.65,2.43,Clay Loam
P0054,2024-01-01,5.68,378.1,23.7,135.2,1.12,2.5,Clay Loam
P0055,2024-08-05,7.26,262.9,12.3,242.6,0.98,0.82,Loam
P0055,2025-02-08,7.6,352.5,46.3,299.7,1.35,0.61,Loam
P0055,2025-05-31,8.37,209.1,44.1,155.4,0.61,1.91,Loam
P0056,2024-10-06,6.24,395.2,27.1,181.2,1.02,0.14,Alluvial
P0056,2024-05-16,7.44,120.6,33.8,278.3,1.11,1.09,Alluvial
P0057,2025-05-15,7.79,270.7,49.4,222.8,0.39,0.17,Sandy Loam
P0057,2025-11-18,6.84,154.6,58.6,162.8,1.02,1.03,Sandy Loam
P0057,2024-01-09,5.87,223.7,19.6,82.1,1.19,1.92,Sandy Loam
P0058,2025-01-01,6.07,348.6,41.3,257.9,0.57,2.45,Loam
P0058,2025-01-06,5.61,258.0,45.2,213.3,0.31,2.46,Loam
P0058,2025-10-15,6.69,363.6,38.5,188.7,0.96,1.68,Loam
P0059,2025-11-19,7.55,278.2,13.3,108.2,0.38,0.72,Clay
P0059,2025-08-06,8.07,366.7,46.4,140.4,1.32,0.16,Clay
P0059,2025-11-25,7.1,190.8,38.0,179.9,1.43,1.64,Clay
P0060,2024-02-23,8.06,210.4,52.2,169.5,0.45,1.34,Clay
P0060,2025-05-22,6.58,332.5,54.2,129.4,0.63,1.11,Clay
P0060,2025-04-04,6.45,229.7,26.7,273.6,1.27,2.48,Clay
P0061,2025-03-09,8.37,376.8,19.8,152.4,0.38,1.6,Alluvial
P0062,2025-05-06,6.8,126.7,49.9,285.7,1.31,0.69,Loam
P0063,2024-09-01,8.38,353.1,51.1,194.3,0.58,0.27,Sandy Loam
P0063,2025-09-06,7.36,333.9,41.3,207.4,0.4,0.25,Sandy Loam
P0064,2025-01-21,6.44,357.4,13.3,108.1,1.4,1.16,Alluvial
P0065,2025-09-17,7.38,138.4,43.9,203.0,0.65,1.02,Sandy Loam
P0065,2024-04-08,7.35,235.1,53.2,253.2,1.05,1.19,Sandy Loam
P0066,2025-03-14,8.14,293.4,27.0,286.3,1.24,1.19,Sandy Loam
P0066,2024-12-02,7.26,150.2,10.6,236.9,1.01,2.12,Sandy Loam
P0067,2024-05-09,7.41,191.8,31.1,239.4,0.83,0.68,Loam
P0067,2024-02-15,5.68,207.3,31.8,291.1,1.21,0.85,Loam
P0067,2025-07-08,7.83,161.3,25.4,155.4,0.74,0.12,Loam
P0068,2025-11-04,7.53,136.0,35.4,263.7,1.33,1.11,Clay Loam
P0068,2024-07-19,8.43,299.4,20.1,95.0,0.53,1.24,Clay Loam
P0068,2025-04-23,7.3,212.7,38.9,291.9,1.04,1.1,Clay Loam
P0069,2024-04-17,6.86,341.0,12.1,128.3,0.3,0.64,Loam
P0070,2025-04-22,7.37,186.9,46.7,289.6,0.7,1.88,Alluvial
P0071,2025-02-13,6.05,397.2,28.1,96.2,0.34,0.38,Sandy Loam
P0072,2025-03-26,6.08,284.0,48.3,89.7,0.34,0.57,Clay Loam
P0072,2024-06-27,6.16,193.4,18.7,266.5,0.6,0.57,Clay Loam
P0073,2024-09-25,8.23,125.9,43.9,163.4,1.24,0.37,Alluvial
P0074,2024-11-08,6.87,223.5,28.6,117.7,0.93,2.02,Loam
P0075,2025-03-20,8.14,138.3,17.2,283.3,1.25,0.56,Alluvial
P0075,2025-01-22,7.58,209.0,31.5,220.0,1.41,1.93,Alluvial
P0075,2025-08-24,6.07,269.9,49.5,152.1,0.36,2.01,Alluvial
P0076,2025-06-04,8.41,368.0,20.5,97.9,0.86,1.69,Alluvial
P0077,2024-06-20,7.03,330.4,42.3,192.0,0.9,1.21,Alluvial
P0078,2025-01-17,7.08,255.3,57.8,184.2,1.0,1.63,Loam
P0078,2025-08-20,7.45,178.0,54.7,179.5,0.58,0.62,Loam
P0079,2025-01-21,7.21,381.9,28.7,201.1,0.46,0.3,Clay
P0079,2025-03-31,7.06,184.4,12.1,192.7,0.7,1.18,Clay
P0080,2025-02-22,6.6,259.3,23.7,85.4,0.83,0.74,Sandy Loam
P0080,2024-03-18,6.58,143.1,52.1,192.8,1.07,1.99,Sandy Loam
P0081,2024-04-10,5.86,220.9,37.3,153.4,1.11,0.7,Clay
P0082,2025-11-30,8.04,173.4,40.2,110.3,1.33,1.82,Alluvial
P0082,2025-07-10,8.24,122.4,25.0,260.9,1.24,1.07,Alluvial
P0082,2025-02-19,7.97,332.2,10.6,223.9,1.49,2.38,Alluvial
P0083,2024-08-21,6.18,329.8,33.7,193.5,1.24,1.92,Alluvial
P0083,2025-04-17,6.52,144.0,52.3,174.3,1.43,1.1,Alluvial
P0084,2025-04-05,8.06,128.4,16.9,272.2,0.67,1.87,Loam
P0084,2025-05-26,7.93,353.6,27.0,172.2,1.12,1.07,Loam
P0085,2025-07-04,6.4,284.3,38.4,87.1,0.47,2.45,Loam
P0085,2024-12-04,7.2,343.8,55.7,206.3,0.77,1.02,Loam
P0085,2025-02-04,5.69,228.2,33.7,152.3,1.45,1.63,Loam
P0086,2024-04-05,6.01,309.0,18.9,261.8,1.02,0.16,Clay Loam
P0086,2024-07-22,5.71,389.6,24.2,131.3,1.09,0.27,Clay Loam
P0087,2025-01-12,7.06,168.1,53.0,170.4,0.49,0.37,Loam
P0088,2025-03-04,6.93,139.3,57.8,270.5,0.46,0.59,Loam
P0088,2025-03-18,7.95,306.1,17.9,206.5,0.67,0.59,Loam
P0088,2025-04-14,6.33,122.1,17.1,94.1,0.78,2.04,Loam
P0089,2024-12-02,8.23,366.2,33.0,206.7,1.18,0.79,Alluvial
P0089,2025-04-12,6.54,355.9,49.6,166.0,1.29,2.14,Alluvial
P0089,2025-03-01,6.25,372.0,46.7,180.7,1.39,0.54,Alluvial
P0090,2024-04-07,6.68,384.8,22.0,271.5,0.63,1.61,Sandy Loam
P0090,2024-10-25,7.5,138.7,46.3,278.5,1.39,1.09,Sandy Loam
P0090,2025-07-20,5.86,223.2,47.8,191.0,1.24,1.08,Sandy Loam
P0091,2024-09-15,6.12,132.5,11.3,220.6,1.11,1.21,Alluvial
P0092,2025-02-12,8.07,231.1,10.5,105.2,1.4,0.89,Clay Loam
P0092,2025-04-20,6.95,139.1,37.4,133.3,1.44,0.44,Clay Loam
P0093,2024-06-14,6.01,125.1,15.0,144.7,0.94,1.04,Clay
P0093,2024-03-20,7.51,123.1,23.7,176.9,0.51,1.81,Clay
P0094,2025-06-29,6.15,315.1,51.8,258.5,1.07,1.82,Alluvial
P0094,2024-04-15,6.67,206.3,12.6,81.0,1.23,1.94,Alluvial
P0094,2024-09-12,6.62,186.8,14.6,172.8,1.49,0.91,Alluvial
P0095,2025-11-27,7.51,181.8,54.1,255.3,1.3,0.5,Alluvial
P0096,2024-02-15,6.75,150.2,26.4,203.7,0.53,0.6,Alluvial
P0097,2025-02-08,8.32,153.8,20.7,158.4,0.51,1.07,Loam
P0097,2024-11-19,5.54,179.6,21.0,224.8,0.63,1.6,Loam
P0097,2024-02-14,5.7,181.2,25.1,211.8,1.48,0.34,Loam
P0098,2025-08-05,6.01,388.5,40.0,295.9,1.14,1.73,Loam
P0098,2024-05-16,6.5,297.9,54.2,150.0,1.32,1.26,Loam
P0098,2024-12-09,5.55,375.4,32.4,192.4,1.19,1.31,Loam
P0099,2024-01-14,6.2,292.6,54.8,147.9,1.19,1.92,Loam
P0099,2025-09-26,5.74,158.5,34.9,124.4,0.75,1.64,Loam
P0099,2024-08-31,8.27,287.5,57.3,242.6,0.69,0.77,Loam
P0100,2024-02-10,7.06,393.7,42.4,143.5,0.33,2.13,Alluvial
P0100,2024-12-05,6.53,177.6,12.7,281.9,1.49,2.02,Alluvial
P0100,2024-08-15,7.32,226.8,26.1,177.3,0.31,2.19,Alluvial
P0101,2024-07-16,5.66,397.8,56.9,107.6,0.51,1.42,Alluvial
P0102,2024-08-29,7.02,239.3,33.4,116.1,0.54,1.12,Loam
P0103,2024-09-11,6.41,281.4,58.4,124.3,1.33,1.25,Sandy Loam
P0103,2025-01-03,6.69,167.0,32.1,191.2,1.18,1.92,Sandy Loam
P0103,2025-05-08,5.56,226.8,52.7,246.9,1.41,1.53,Sandy Loam
P0104,2025-07-20,7.68,192.0,33.2,179.8,0.75,1.55,Clay
P0105,2024-12-07,5.91,251.4,17.7,121.7,0.32,1.3,Clay Loam
P0106,2025-01-18,6.97,379.2,57.0,293.5,0.75,1.27,Alluvial
P0106,2025-10-18,8.46,139.9,54.2,298.3,0.45,2.34,Alluvial
P0106,2024-06-15,6.08,242.2,22.8,280.9,1.17,1.32,Alluvial
P0107,2025-10-12,7.57,315.0,42.5,283.8,1.18,0.68,Sandy Loam
P0107,2024-02-05,8.26,221.2,45.3,86.2,1.1,0.45,Sandy Loam
P0108,2025-04-11,8.33,161.3,22.4,207.2,1.1,0.49,Alluvial
P0108,2024-04-29,7.81,300.4,55.8,167.5,1.0,2.26,Alluvial
P0108,2025-06-14,8.23,365.3,18.3,173.9,1.13,1.3,Alluvial
P0109,2025-11-05,8.16,284.1,46.7,245.5,1.41,2.19,Sandy Loam
P0109,2024-04-21,7.41,337.5,27.2,111.4,1.2,2.33,Sandy Loam
P0109,2025-02-11,7.6,121.8,18.4,188.2,0.42,1.96,Sandy Loam
P0110,2025-06-21,6.75,200.7,31.5,118.8,0.52,0.42,Alluvial
P0110,2025-05-13,6.05,385.6,32.5,259.2,0.52,0.24,Alluvial
P0111,2024-07-15,6.28,372.6,30.4,217.9,1.05,2.18,Clay
P0112,2024-03-22,6.38,225.8,23.8,155.3,1.0,1.25,Clay Loam
P0113,2024-04-13,5.53,194.5,57.8,226.4,1.25,0.2,Clay Loam
P0113,2024-08-04,7.07,122.0,40.1,297.1,1.21,2.34,Clay Loam
P0113,2025-04-29,7.77,289.2,26.8,230.0,0.71,0.86,Clay Loam
P0114,2025-01-04,7.5,226.0,12.9,158.3,0.7,0.34,Clay
P0115,2025-02-15,7.68,368.6,16.9,212.4,1.34,0.77,Loam
P0115,2024-09-11,6.61,293.1,42.9,184.5,0.8,0.55,Loam
P0116,2024-11-25,5.55,220.9,12.3,257.7,0.69,1.17,Clay Loam
P0116,2025-09-13,6.95,327.0,49.7,156.6,1.43,2.36,Clay Loam
P0116,2025-05-02,8.46,360.0,55.3,241.5,0.65,0.57,Clay Loam
P0117,2025-06-16,8.13,339.8,45.8,87.0,0.9,0.31,Loam
P0118,2025-07-15,8.46,250.7,54.8,290.1,0.88,1.4,Loam
P0118,2024-09-06,6.13,330.9,43.0,99.7,0.82,1.82,Loam
P0118,2024-06-13,8.29,211.4,29.2,141.7,1.16,1.7,Loam
P0119,2024-05-06,7.5,378.4,41.7,188.2,1.25,0.9,Clay Loam
P0119,2024-08-17,8.3,334.6,40.0,221.7,0.75,1.82,Clay Loam
P0119,2025-01-25,7.46,339.8,58.3,176.1,0.58,0.72,Clay Loam
P0120,2024-03-30,5.83,215.3,39.6,121.4,1.43,1.47,Sandy Loam
P0120,2024-05-10,8.06,387.1,38.8,80.4,0.37,1.39,Sandy Loam
P0121,2025-03-09,6.46,222.2,44.0,255.2,0.92,1.54,Clay
P0121,2024-08-15,5.82,122.6,52.6,149.5,1.28,0.81,Clay
P0122,2025-05-26,7.54,161.3,24.2,244.4,1.32,2.09,Alluvial
P0123,2025-09-05,6.46,260.7,44.4,140.2,1.32,1.48,Loam
P0124,2024-08-08,6.99,317.2,28.8,295.9,0.7,2.09,Clay
P0124,2024-08-03,8.04,381.6,21.3,241.9,1.41,1.96,Clay
P0124,2025-05-14,7.68,203.7,50.8,280.7,0.49,0.15,Clay
P0125,2024-12-11,6.77,252.6,27.4,166.1,0.39,1.84,Loam
P0125,2024-10-16,7.59,174.6,52.8,166.6,0.46,1.91,Loam
P0126,2024-02-25,8.05,318.7,32.9,116.0,0.47,1.77,Clay
P0126,2024-10-25,8.19,178.7,50.2,123.0,1.08,0.97,Clay
P0126,2025-08-12,5.81,339.9,52.9,162.8,1.48,1.73,Clay
P0127,2024-02-27,5.79,392.8,19.0,91.5,1.48,1.66,Alluvial
P0128,2025-03-20,8.41,295.6,30.2,87.5,0.59,1.27,Alluvial
P0128,2025-09-02,8.36,302.8,28.8,232.2,1.25,1.68,Alluvial
P0128,2025-04-19,8.09,302.1,23.8,223.7,0.74,0.39,Alluvial
P0129,2024-05-04,6.97,307.3,35.5,85.1,0.99,1.47,Clay
P0130,2024-04-06,7.88,170.7,34.2,221.8,0.82,1.47,Loam
P0130,2024-04-11,6.48,319.9,53.1,198.3,0.79,1.78,Loam
P0131,2025-07-23,7.95,339.4,36.5,94.1,1.3,1.39,Clay
P0131,2025-10-29,5.87,330.8,58.3,277.5,0.52,1.54,Clay
P0132,2024-01-06,7.16,344.1,16.2,108.3,0.55,0.49,Loam
P0133,2024-09-19,8.05,129.8,59.0,191.4,0.74,1.41,Loam
P0133,2025-03-09,8.43,304.3,22.4,90.2,1.43,2.27,Loam
P0133,2024-10-27,7.48,244.6,38.9,232.9,0.93,2.47,Loam
P0134,2025-09-12,7.11,178.8,15.0,260.3,0.58,0.55,Loam
P0134,2024-11-02,8.07,180.3,16.7,201.5,1.01,0.77,Loam
P0135,2025-09-29,6.77,274.0,23.0,222.9,0.5,1.19,Clay
P0135,2024-09-17,7.53,383.3,17.2,124.8,1.06,0.75,Clay
P0135,2025-10-10,7.59,173.9,28.6,224.6,1.28,1.55,Clay
P0136,2024-06-06,6.45,340.6,28.9,292.1,0.6,0.75,Clay
P0136,2025-06-28,5.83,273.5,13.3,220.8,0.74,0.9,Clay
P0137,2024-05-29,8.11,183.2,10.5,163.0,1.46,1.01,Alluvial
P0137,2024-04-17,7.85,154.6,36.3,272.6,1.01,2.04,Alluvial
P0138,2025-06-25,6.55,280.2,24.1,139.6,0.42,0.22,Clay
P0139,2025-02-02,6.04,345.7,43.9,253.5,0.96,2.22,Clay Loam
P0139,2025-02-16,6.93,155.7,10.5,193.0,0.49,0.4,Clay Loam
P0140,2025-08-04,7.71,134.8,46.3,294.4,1.15,0.7,Sandy Loam
P0140,2025-09-15,6.75,248.2,31.9,157.9,0.86,0.79,Sandy Loam
P0141,2025-06-17,8.33,366.8,50.7,147.1,1.33,2.37,Clay Loam
P0141,2025-02-20,7.81,356.7,41.7,96.9,0.59,0.32,Clay Loam
P0142,2024-02-28,5.75,200.0,56.5,257.8,0.31,2.38,Loam
P0142,2025-11-24,7.03,324.6,34.0,193.3,1.5,2.23,Loam
P0142,2024-05-07,6.72,292.6,55.5,244.1,1.16,1.79,Loam
P0143,2024-12-19,6.23,326.9,57.5,261.1,1.36,1.37,Alluvial
P0143,2025-09-15,5.63,245.6,18.4,284.6,1.22,2.27,Alluvial
P0143,2024-06-28,5.73,355.0,35.7,289.5,0.81,1.01,Alluvial
P0144,2024-04-25,6.51,310.1,51.6,267.2,1.33,0.8,Clay
P0144,2025-05-09,6.38,179.7,46.9,205.1,0.56,0.83,Clay
P0145,2025-06-11,7.98,129.9,33.2,215.9,0.89,0.95,Sandy Loam
P0145,2025-09-22,6.88,203.5,15.4,156.9,1.17,1.06,Sandy Loam
P0145,2024-01-10,5.8,257.8,14.2,193.2,0.48,0.4,Sandy Loam
P0146,2024-01-08,5.97,303.9,21.3,167.0,0.66,1.13,Sandy Loam
P0146,2024-07-05,7.11,195.5,59.5,224.4,0.83,0.44,Sandy Loam
P0147,2025-03-20,5.52,367.4,45.5,104.3,0.64,0.42,Loam
P0147,2025-03-07,7.73,372.3,18.0,123.8,0.88,1.7,Loam
P0147,2024-09-29,5.86,256.9,34.8,230.0,0.45,1.9,Loam
P0148,2025-05-28,7.68,327.7,51.3,108.9,1.45,2.0,Clay
P0148,2024-05-09,5.97,260.0,48.4,132.0,1.11,0.92,Clay
P0149,2024-01-09,6.8,201.1,34.3,247.4,0.6,0.47,Clay
P0149,2025-06-07,6.06,198.7,15.8,138.0,1.14,1.7,Clay
P0149,2025-03-15,6.1,317.8,50.5,234.3,0.9,0.53,Clay
P0150,2025-10-06,7.4,184.2,16.6,88.4,1.49,2.33,Alluvial
P0150,2025-03-12,5.55,175.9,53.2,163.7,0.93,1.78,Alluvial
P0150,2024-08-24,6.17,239.3,13.1,174.0,0.36,0.36,Alluvial
P0151,2024-10-14,8.33,319.2,22.3,276.9,0.52,0.1,Clay Loam
P0151,2025-11-07,7.73,179.4,33.6,279.9,0.42,0.54,Clay Loam
P0152,2025-01-07,6.5,151.2,43.4,230.3,1.22,0.41,Sandy Loam
P0152,2025-01-04,7.72,221.2,48.9,196.3,0.75,1.66,Sandy Loam
P0153,2025-08-21,6.65,368.4,16.5,243.4,0.44,1.51,Clay Loam
P0154,2024-07-14,6.08,244.8,14.9,287.2,1.04,0.82,Clay Loam
P0154,2025-04-30,8.47,176.6,46.0,89.6,0.53,1.42,Clay Loam
P0154,2024-09-15,8.17,332.6,52.3,203.3,0.72,0.98,Clay Loam
P0155,2024-04-30,8.23,139.0,31.0,284.9,0.9,0.15,Loam
P0155,2025-09-05,6.32,390.9,24.5,290.3,0.37,2.43,Loam
P0155,2024-07-13,7.72,231.3,44.2,271.5,1.47,0.5,Loam
P0156,2025-01-28,7.19,229.3,40.4,125.5,0.3,1.47,Clay
P0156,2025-08-29,7.59,366.2,49.5,180.2,1.15,1.36,Clay
P0156,2024-11-06,8.06,203.0,23.4,106.2,0.57,1.38,Clay
P0157,2024-02-10,7.42,383.8,23.9,109.3,1.35,0.22,Loam
P0157,2024-09-11,8.47,178.8,15.8,222.7,1.06,2.43,Loam
P0158,2024-03-26,8.34,367.5,23.2,109.4,1.38,0.81,Clay
P0158,2024-02-28,7.38,122.9,27.8,240.7,0.64,0.71,Clay
P0159,2025-07-04,7.47,363.0,57.0,208.3,1.17,1.75,Loam
P0160,2024-09-20,8.11,297.6,37.5,259.7,0.56,0.75,Loam
P0160,2025-08-18,7.39,360.3,29.8,178.1,1.18,1.14,Loam
P0160,2024-05-31,8.21,146.2,19.1,120.7,1.33,0.55,Loam
P0161,2024-07-03,7.44,125.9,18.1,119.1,0.77,1.56,Alluvial
P0161,2024-03-12,5.93,239.4,32.8,221.9,0.78,1.84,Alluvial
P0162,2024-01-13,7.31,225.8,11.0,261.8,1.22,1.65,Clay
P0163,2024-05-15,6.25,143.4,17.1,218.0,0.32,2.42,Sandy Loam
P0164,2025-07-09,7.71,214.7,45.4,124.5,0.88,1.45,Alluvial
P0165,2024-06-16,6.42,254.1,22.2,199.6,0.62,1.4,Sandy Loam
P0165,2024-01-22,7.97,148.8,24.8,192.5,1.3,0.44,Sandy Loam
P0166,2024-01-25,6.18,227.9,27.7,143.1,1.41,1.74,Clay Loam
P0167,2024-04-25,6.98,397.4,21.2,290.4,0.64,0.28,Sandy Loam
P0167,2024-12-07,5.86,378.5,56.0,277.0,1.03,0.53,Sandy Loam
P0167,2025-06-27,6.5,170.8,31.3,276.5,1.12,1.6,Sandy Loam
P0168,2024-12-22,8.13,195.9,35.0,161.2,0.62,2.28,Loam
P0168,2024-03-19,7.87,361.3,58.9,251.1,0.48,0.45,Loam
