parcel_id,date,crop_stage,risk_level,recommendation,source
P0012,2025-01-20,Germination,high,Field conditions stable — continue regular monitoring.,weather_service
P0012,2025-06-17,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0012,2025-03-31,Germination,low,Field conditions stable — continue regular monitoring.,ml_model
P0013,2025-06-16,Maturity,high,Delay fertilizer until rainfall subsides.,rule_engine
P0013,2025-02-15,Peg Formation,medium,Apply light irrigation in evening.,weather_service
P0013,2025-05-01,Maturity,high,Field conditions stable — continue regular monitoring.,rule_engine
P0013,2025-04-23,Panicle Initiation,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0013,2025-06-08,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0013,2025-03-15,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0014,2025-06-05,Flowering,high,Monitor for stem borer — scout field edges.,weather_service
P0014,2025-05-30,Seedling,low,Apply light irrigation in evening.,ml_model
P0014,2025-06-17,Maturity,high,Field conditions stable — continue regular monitoring.,weather_service
P0014,2025-04-04,Maturity,high,Do not irrigate today — soil moisture adequate.,ml_model
P0015,2025-01-02,Tillering,low,Delay fertilizer until rainfall subsides.,rule_engine
P0015,2025-07-17,Tillering,high,Delay fertilizer until rainfall subsides.,weather_service
P0015,2025-05-18,Peg Formation,low,Delay fertilizer until rainfall subsides.,weather_service
P0015,2025-03-28,Tillering,low,Field conditions stable — continue regular monitoring.,weather_service
P0015,2025-03-27,Flowering,high,Apply light irrigation in evening.,weather_service
P0015,2025-05-06,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0016,2025-04-29,Flowering,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0016,2025-04-14,Peg Formation,high,Do not irrigate today — soil moisture adequate.,weather_service
P0016,2025-05-30,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0016,2025-07-06,Maturity,medium,Field conditions stable — continue regular monitoring.,ml_model
P0016,2025-02-13,Maturity,medium,Apply light irrigation in evening.,rule_engine
P0016,2025-03-19,Germination,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0016,2025-04-18,Vegetative,low,Delay fertilizer until rainfall subsides.,weather_service
P0016,2025-04-11,Germination,low,Field conditions stable — continue regular monitoring.,rule_engine
P0017,2025-02-06,Flowering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0017,2025-06-01,Tillering,low,Monitor for stem borer — scout field edges.,rule_engine
P0017,2025-07-01,Flowering,low,Monitor for stem borer — scout field edges.,weather_service
P0017,2025-01-22,Peg Formation,high,Monitor for stem borer — scout field edges.,ml_model
P0017,2025-03-15,Maturity,high,Monitor for stem borer — scout field edges.,rule_engine
P0017,2025-02-28,Germination,high,Apply light irrigation in evening.,weather_service
P0018,2025-07-06,Seedling,high,Do not irrigate today — soil moisture adequate.,weather_service
P0018,2025-04-15,Germination,high,Field conditions stable — continue regular monitoring.,ml_model
P0019,2025-02-02,Maturity,low,Apply light irrigation in evening.,weather_service
P0019,2025-05-29,Flowering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0019,2025-02-27,Vegetative,low,Apply light irrigation in evening.,rule_engine
P0019,2025-03-13,Peg Formation,low,Delay fertilizer until rainfall subsides.,rule_engine
P0020,2025-07-01,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0020,2025-03-05,Flowering,low,Field conditions stable — continue regular monitoring.,ml_model
P0020,2025-05-17,Seedling,high,Do not irrigate today — soil moisture adequate.,ml_model
P0020,2025-03-12,Maturity,high,Delay fertilizer until rainfall subsides.,ml_model
P0020,2025-02-23,Vegetative,high,Field conditions stable — continue regular monitoring.,ml_model
P0020,2025-04-06,Maturity,medium,Monitor for stem borer — scout field edges.,ml_model
P0020,2025-01-29,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0020,2025-05-10,Flowering,low,Apply light irrigation in evening.,weather_service
P0021,2025-01-07,Maturity,low,Delay fertilizer until rainfall subsides.,ml_model
P0021,2025-03-07,Germination,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0021,2025-02-03,Peg Formation,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0021,2025-06-17,Panicle Initiation,low,Field conditions stable — continue regular monitoring.,ml_model
P0021,2025-05-09,Maturity,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0021,2025-04-17,Germination,low,Field conditions stable — continue regular monitoring.,rule_engine
P0021,2025-03-17,Germination,medium,Field conditions stable — continue regular monitoring.,ml_model
P0021,2025-06-01,Panicle Initiation,low,Field conditions stable — continue regular monitoring.,rule_engine
P0022,2025-02-23,Maturity,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0022,2025-01-26,Vegetative,medium,Monitor for stem borer — scout field edges.,rule_engine
P0022,2025-03-26,Maturity,low,Monitor for stem borer — scout field edges.,weather_service
P0023,2025-03-18,Peg Formation,low,Apply light irrigation in evening.,rule_engine
P0023,2025-03-07,Flowering,high,Monitor for stem borer — scout field edges.,weather_service
P0023,2025-04-26,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,weather_service
P0023,2025-01-18,Maturity,medium,Delay fertilizer until rainfall subsides.,ml_model
P0024,2025-06-19,Germination,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0024,2025-06-23,Flowering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0025,2025-05-25,Vegetative,low,Field conditions stable — continue regular monitoring.,weather_service
P0025,2025-06-02,Flowering,low,Do not irrigate today — soil moisture adequate.,ml_model
P0025,2025-01-17,Panicle Initiation,high,Field conditions stable — continue regular monitoring.,weather_service
P0025,2025-01-02,Vegetative,low,Delay fertilizer until rainfall subsides.,ml_model
P0025,2025-01-10,Maturity,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0025,2025-05-10,Peg Formation,low,Monitor for stem borer — scout field edges.,ml_model
P0025,2025-06-16,Maturity,medium,Monitor for stem borer — scout field edges.,ml_model
P0026,2025-06-11,Maturity,high,Apply light irrigation in evening.,ml_model
P0026,2025-05-07,Maturity,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0026,2025-07-06,Maturity,medium,Delay fertilizer until rainfall subsides.,weather_service
P0027,2025-03-01,Seedling,high,Field conditions stable — continue regular monitoring.,ml_model
P0027,2025-01-17,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0027,2025-07-15,Vegetative,high,Field conditions stable — continue regular monitoring.,ml_model
P0028,2025-05-19,Vegetative,low,Delay fertilizer until rainfall subsides.,weather_service
P0028,2025-01-07,Panicle Initiation,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0028,2025-01-11,Peg Formation,medium,Apply light irrigation in evening.,rule_engine
P0028,2025-02-02,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0028,2025-01-15,Maturity,low,Field conditions stable — continue regular monitoring.,rule_engine
P0028,2025-03-08,Vegetative,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0029,2025-02-18,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0029,2025-03-19,Maturity,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0029,2025-03-19,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,ml_model
P0029,2025-01-13,Maturity,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0029,2025-05-30,Flowering,high,Do not irrigate today — soil moisture adequate.,weather_service
P0029,2025-05-07,Flowering,low,Monitor for stem borer — scout field edges.,ml_model
P0029,2025-01-18,Peg Formation,medium,Apply light irrigation in evening.,ml_model
P0029,2025-04-10,Flowering,low,Monitor for stem borer — scout field edges.,weather_service
P0030,2025-01-09,Maturity,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0030,2025-02-11,Panicle Initiation,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0030,2025-06-12,Maturity,medium,Monitor for stem borer — scout field edges.,rule_engine
P0030,2025-06-21,Panicle Initiation,medium,Field conditions stable — continue regular monitoring.,rule_engine
P0030,2025-05-08,Seedling,medium,Field conditions stable — continue regular monitoring.,weather_service
P0031,2025-06-13,Maturity,medium,Apply light irrigation in evening.,rule_engine
P0031,2025-06-11,Flowering,medium,Monitor for stem borer — scout field edges.,rule_engine
P0031,2025-03-07,Vegetative,high,Do not irrigate today — soil moisture adequate.,ml_model
P0031,2025-07-15,Germination,low,Apply light irrigation in evening.,ml_model
P0031,2025-06-10,Maturity,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0031,2025-06-06,Maturity,low,Apply light irrigation in evening.,ml_model
P0032,2025-02-27,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0032,2025-01-04,Vegetative,high,Field conditions stable — continue regular monitoring.,rule_engine
P0032,2025-06-01,Seedling,high,Delay fertilizer until rainfall subsides.,weather_service
P0032,2025-02-02,Seedling,medium,Field conditions stable — continue regular monitoring.,weather_service
P0033,2025-06-22,Peg Formation,high,Delay fertilizer until rainfall subsides.,weather_service
P0033,2025-04-21,Peg Formation,high,Apply light irrigation in evening.,ml_model
P0034,2025-06-04,Vegetative,low,Monitor for stem borer — scout field edges.,weather_service
P0034,2025-06-07,Tillering,low,Field conditions stable — continue regular monitoring.,ml_model
P0034,2025-02-24,Panicle Initiation,medium,Apply light irrigation in evening.,ml_model
P0035,2025-03-23,Panicle Initiation,high,Monitor for stem borer — scout field edges.,ml_model
P0035,2025-03-05,Peg Formation,medium,Apply light irrigation in evening.,rule_engine
P0036,2025-01-02,Flowering,high,Monitor for stem borer — scout field edges.,weather_service
P0036,2025-02-11,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0036,2025-06-11,Tillering,high,Delay fertilizer until rainfall subsides.,weather_service
P0036,2025-07-08,Seedling,medium,Monitor for stem borer — scout field edges.,rule_engine
P0036,2025-04-03,Tillering,low,Apply light irrigation in evening.,weather_service
P0036,2025-01-20,Flowering,medium,Monitor for stem borer — scout field edges.,ml_model
P0036,2025-02-03,Tillering,high,Apply light irrigation in evening.,ml_model
P0037,2025-03-10,Tillering,low,Monitor for stem borer — scout field edges.,rule_engine
P0037,2025-07-01,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0037,2025-03-09,Maturity,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0037,2025-03-26,Flowering,high,Apply light irrigation in evening.,rule_engine
P0038,2025-06-13,Panicle Initiation,low,Field conditions stable — continue regular monitoring.,ml_model
P0038,2025-05-07,Maturity,medium,Monitor for stem borer — scout field edges.,weather_service
P0038,2025-05-06,Flowering,medium,Monitor for stem borer — scout field edges.,weather_service
P0038,2025-07-04,Germination,high,Field conditions stable — continue regular monitoring.,weather_service
P0038,2025-06-16,Panicle Initiation,low,Do not irrigate today — soil moisture adequate.,ml_model
P0038,2025-06-04,Germination,high,Monitor for stem borer — scout field edges.,ml_model
P0039,2025-04-15,Maturity,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0039,2025-01-01,Tillering,medium,Apply light irrigation in evening.,weather_service
P0039,2025-07-12,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0039,2025-05-14,Seedling,low,Delay fertilizer until rainfall subsides.,ml_model
P0040,2025-01-11,Germination,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0040,2025-05-27,Vegetative,low,Apply light irrigation in evening.,weather_service
P0040,2025-06-17,Maturity,low,Apply light irrigation in evening.,ml_model
P0040,2025-05-24,Maturity,high,Field conditions stable — continue regular monitoring.,weather_service
P0040,2025-04-17,Seedling,high,Apply light irrigation in evening.,weather_service
P0040,2025-06-14,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0040,2025-05-14,Panicle Initiation,medium,Apply light irrigation in evening.,weather_service
P0041,2025-03-02,Panicle Initiation,high,Delay fertilizer until rainfall subsides.,weather_service
P0041,2025-02-16,Germination,low,Field conditions stable — continue regular monitoring.,weather_service
P0041,2025-03-27,Peg Formation,high,Monitor for stem borer — scout field edges.,rule_engine
P0041,2025-02-24,Seedling,high,Delay fertilizer until rainfall subsides.,ml_model
P0041,2025-06-03,Maturity,low,Delay fertilizer until rainfall subsides.,rule_engine
P0041,2025-01-22,Flowering,medium,Field conditions stable — continue regular monitoring.,ml_model
P0041,2025-07-06,Maturity,low,Apply light irrigation in evening.,ml_model
P0041,2025-07-05,Tillering,high,Monitor for stem borer — scout field edges.,rule_engine
P0042,2025-07-16,Panicle Initiation,medium,Field conditions stable — continue regular monitoring.,ml_model
P0042,2025-01-03,Seedling,medium,Monitor for stem borer — scout field edges.,weather_service
P0042,2025-03-21,Flowering,high,Apply light irrigation in evening.,weather_service
P0042,2025-05-25,Germination,medium,Delay fertilizer until rainfall subsides.,ml_model
P0042,2025-06-10,Maturity,high,Apply light irrigation in evening.,rule_engine
P0042,2025-04-18,Maturity,low,Field conditions stable — continue regular monitoring.,rule_engine
P0042,2025-05-14,Maturity,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0042,2025-02-12,Flowering,high,Monitor for stem borer — scout field edges.,weather_service
P0043,2025-04-09,Maturity,high,Monitor for stem borer — scout field edges.,rule_engine
P0043,2025-07-13,Panicle Initiation,high,Field conditions stable — continue regular monitoring.,weather_service
P0043,2025-06-22,Maturity,medium,Field conditions stable — continue regular monitoring.,weather_service
P0043,2025-02-18,Flowering,high,Monitor for stem borer — scout field edges.,ml_model
P0044,2025-06-07,Maturity,high,Monitor for stem borer — scout field edges.,rule_engine
P0044,2025-06-19,Flowering,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0044,2025-03-26,Flowering,medium,Monitor for stem borer — scout field edges.,ml_model
P0045,2025-05-06,Maturity,low,Field conditions stable — continue regular monitoring.,weather_service
P0045,2025-01-11,Vegetative,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0045,2025-05-18,Panicle Initiation,high,Monitor for stem borer — scout field edges.,ml_model
P0046,2025-05-15,Vegetative,low,Delay fertilizer until rainfall subsides.,rule_engine
P0046,2025-02-01,Peg Formation,low,Delay fertilizer until rainfall subsides.,ml_model
P0046,2025-05-18,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0046,2025-01-03,Maturity,low,Apply light irrigation in evening.,rule_engine
P0046,2025-02-24,Panicle Initiation,high,Apply light irrigation in evening.,rule_engine
P0046,2025-02-15,Seedling,low,Do not irrigate today — soil moisture adequate.,ml_model
P0046,2025-06-23,Vegetative,low,Field conditions stable — continue regular monitoring.,rule_engine
P0047,2025-03-27,Maturity,medium,Field conditions stable — continue regular monitoring.,ml_model
P0047,2025-03-28,Maturity,medium,Monitor for stem borer — scout field edges.,weather_service
P0047,2025-04-11,Flowering,medium,Field conditions stable — continue regular monitoring.,weather_service
P0047,2025-05-08,Seedling,low,Monitor for stem borer — scout field edges.,rule_engine
P0047,2025-02-14,Maturity,high,Delay fertilizer until rainfall subsides.,rule_engine
P0047,2025-04-26,Flowering,medium,Delay fertilizer until rainfall subsides.,ml_model
P0047,2025-04-25,Flowering,medium,Apply light irrigation in evening.,weather_service
P0048,2025-04-01,Maturity,low,Delay fertilizer until rainfall subsides.,rule_engine
P0048,2025-04-06,Germination,low,Monitor for stem borer — scout field edges.,weather_service
P0048,2025-04-17,Peg Formation,low,Do not irrigate today — soil moisture adequate.,weather_service
P0048,2025-03-05,Flowering,high,Field conditions stable — continue regular monitoring.,rule_engine
P0049,2025-02-21,Peg Formation,high,Apply light irrigation in evening.,ml_model
P0049,2025-07-04,Seedling,high,Field conditions stable — continue regular monitoring.,weather_service
P0049,2025-03-30,Germination,high,Monitor for stem borer — scout field edges.,weather_service
P0050,2025-03-20,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0050,2025-01-16,Vegetative,high,Do not irrigate today — soil moisture adequate.,ml_model
P0050,2025-03-20,Panicle Initiation,low,Monitor for stem borer — scout field edges.,weather_service
P0050,2025-06-05,Tillering,low,Monitor for stem borer — scout field edges.,ml_model
P0050,2025-04-16,Vegetative,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0050,2025-06-24,Maturity,medium,Delay fertilizer until rainfall subsides.,ml_model
P0050,2025-04-22,Flowering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0050,2025-03-09,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0051,2025-01-11,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0051,2025-04-09,Flowering,medium,Monitor for stem borer — scout field edges.,rule_engine
P0051,2025-01-07,Maturity,low,Field conditions stable — continue regular monitoring.,ml_model
P0051,2025-03-15,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0051,2025-03-19,Tillering,low,Field conditions stable — continue regular monitoring.,ml_model
P0051,2025-02-10,Maturity,high,Monitor for stem borer — scout field edges.,weather_service
P0051,2025-07-20,Flowering,low,Field conditions stable — continue regular monitoring.,weather_service
P0051,2025-03-20,Flowering,medium,Apply light irrigation in evening.,weather_service
P0052,2025-02-07,Germination,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0052,2025-01-28,Seedling,low,Apply light irrigation in evening.,rule_engine
P0052,2025-04-06,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0052,2025-04-27,Maturity,high,Monitor for stem borer — scout field edges.,ml_model
P0052,2025-06-21,Peg Formation,medium,Field conditions stable — continue regular monitoring.,weather_service
P0052,2025-04-09,Peg Formation,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0053,2025-06-17,Germination,medium,Apply light irrigation in evening.,rule_engine
P0053,2025-05-20,Maturity,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0053,2025-02-05,Tillering,medium,Delay fertilizer until rainfall subsides.,weather_service
P0053,2025-07-10,Panicle Initiation,high,Delay fertilizer until rainfall subsides.,ml_model
P0053,2025-07-02,Tillering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0053,2025-06-24,Panicle Initiation,high,Monitor for stem borer — scout field edges.,rule_engine
P0054,2025-05-16,Maturity,high,Do not irrigate today — soil moisture adequate.,weather_service
P0054,2025-01-21,Maturity,low,Do not irrigate today — soil moisture adequate.,ml_model
P0054,2025-05-02,Seedling,low,Delay fertilizer until rainfall subsides.,rule_engine
P0054,2025-03-20,Panicle Initiation,low,Monitor for stem borer — scout field edges.,ml_model
P0055,2025-07-17,Maturity,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0055,2025-02-20,Maturity,high,Delay fertilizer until rainfall subsides.,weather_service
P0055,2025-04-30,Maturity,high,Delay fertilizer until rainfall subsides.,weather_service
P0055,2025-02-28,Germination,medium,Field conditions stable — continue regular monitoring.,weather_service
P0055,2025-06-23,Vegetative,low,Field conditions stable — continue regular monitoring.,rule_engine
P0055,2025-06-08,Flowering,high,Delay fertilizer until rainfall subsides.,ml_model
P0056,2025-04-30,Panicle Initiation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0056,2025-04-30,Flowering,low,Monitor for stem borer — scout field edges.,ml_model
P0056,2025-06-24,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0056,2025-07-12,Flowering,high,Apply light irrigation in evening.,rule_engine
P0056,2025-05-19,Vegetative,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0057,2025-01-16,Maturity,medium,Do not irrigate today — soil moisture adequate.,weather_service
P0057,2025-03-09,Peg Formation,high,Delay fertilizer until rainfall subsides.,weather_service
P0057,2025-05-22,Germination,high,Field conditions stable — continue regular monitoring.,ml_model
P0058,2025-07-01,Germination,high,Apply light irrigation in evening.,weather_service
P0058,2025-01-09,Germination,medium,Delay fertilizer until rainfall subsides.,ml_model
P0058,2025-03-28,Seedling,low,Do not irrigate today — soil moisture adequate.,rule_engine
P0058,2025-02-12,Seedling,medium,Field conditions stable — continue regular monitoring.,weather_service
P0058,2025-02-06,Tillering,high,Delay fertilizer until rainfall subsides.,rule_engine
P0059,2025-04-12,Tillering,medium,Do not irrigate today — soil moisture adequate.,rule_engine
P0059,2025-01-10,Vegetative,low,Field conditions stable — continue regular monitoring.,weather_service
P0059,2025-04-30,Flowering,low,Apply light irrigation in evening.,rule_engine
P0060,2025-03-21,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0060,2025-03-25,Seedling,low,Monitor for stem borer — scout field edges.,rule_engine
P0060,2025-03-01,Seedling,high,Monitor for stem borer — scout field edges.,weather_service
P0060,2025-03-25,Panicle Initiation,medium,Monitor for stem borer — scout field edges.,ml_model
P0060,2025-03-28,Peg Formation,low,Monitor for stem borer — scout field edges.,weather_service
P0060,2025-07-11,Seedling,medium,Apply light irrigation in evening.,ml_model
P0060,2025-05-29,Tillering,low,Field conditions stable — continue regular monitoring.,rule_engine
P0060,2025-04-14,Seedling,high,Apply light irrigation in evening.,rule_engine
P0061,2025-01-15,Flowering,medium,Do not irrigate today — soil moisture adequate.,ml_model
P0061,2025-06-24,Seedling,low,Field conditions stable — continue regular monitoring.,ml_model
P0061,2025-03-03,Peg Formation,high,Do not irrigate today — soil moisture adequate.,rule_engine
P0061,2025-01-15,Germination,low,Field conditions stable — continue regular monitoring.,rule_engine
P0062,2025-06-02,Maturity,medium,Field conditions stable — continue regular monitoring.,ml_model
P0062,2025-07-15,Vegetative,high,Delay fertilizer until rainfall subsides.,ml_model
P0062,2025-07-01,Panicle Initiation,medium,Monitor for stem borer — scout field edges.,weather_service
P0062,2025-03-10,Seedling,low,Apply light irrigation in evening.,rule_engine
P0062,2025-05-09,Tillering,low,Delay fertilizer until rainfall subsides.,rule_engine
P0062,2025-05-11,Germination,low,Monitor for stem borer — scout field edges.,weather_service
P0062,2025-01-07,Flowering,medium,Delay fertilizer until rainfall subsides.,weather_service
P0062,2025-04-05,Seedling,low,Delay fertilizer until rainfall subsides.,rule_engine
P0063,2025-04-18,Seedling,medium,Delay fertilizer until rainfall subsides.,weather_service
P0063,2025-02-24,Vegetative,high,Delay fertilizer until rainfall subsides.,ml_model
P0063,2025-05-08,Vegetative,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0063,2025-05-02,Maturity,low,Apply light irrigation in evening.,weather_service
P0063,2025-04-29,Maturity,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0064,2025-04-26,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,weather_service
P0064,2025-02-02,Maturity,high,Delay fertilizer until rainfall subsides.,weather_service
P0064,2025-03-24,Peg Formation,low,Apply light irrigation in evening.,rule_engine
P0064,2025-02-19,Panicle Initiation,low,Monitor for stem borer — scout field edges.,ml_model
P0064,2025-01-12,Flowering,high,Field conditions stable — continue regular monitoring.,ml_model
P0065,2025-03-29,Maturity,medium,Delay fertilizer until rainfall subsides.,ml_model
P0065,2025-02-14,Vegetative,low,Do not irrigate today — soil moisture adequate.,ml_model
P0065,2025-01-26,Peg Formation,medium,Delay fertilizer until rainfall subsides.,rule_engine
P0065,2025-05-15,Flowering,high,Do not irrigate today — soil moisture adequate.,ml_model
P0065,2025-04-25,Tillering,medium,Field conditions stable — continue regular monitoring.,weather_service
P0065,2025-03-31,Peg Formation,medium,Delay fertilizer until rainfall subsides.,weather_service
P0065,2025-03-27,Flowering,low,Delay fertilizer until rainfall subsides.,ml_model
P0066,2025-01-31,Flowering,high,Apply light irrigation in evening.,ml_model
P0066,2025-01-13,Panicle Initiation,low,Delay fertilizer until rainfall subsides.,rule_engine
P0066,2025-06-19,Maturity,low,Monitor for stem borer — scout field edges.,rule_engine
P0066,2025-05-17,Maturity,medium,Do not irrigate today — soil moisture adequate.,weather_service
