canonical_answer_id,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,answer
CA_00016,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,black,கரிசல் மண்,"கரும்பு தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00017,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,alluvial,வண்டல் மண்,"கரும்பு தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00018,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,sandy,மணல் மண்,"கரும்பு தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00019,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,clay,களிமண்,"கரும்பு தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00020,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,loamy,கலப்பு மண்,"கரும்பு தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00021,crop_selection,பயிர் தேர்வு,sugarcane,கரும்பு,laterite,சரளை மண்,"கரும்பு தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00022,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,red,செம்மண்,"பருத்தி தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00023,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,black,கரிசல் மண்,"பருத்தி தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00024,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,alluvial,வண்டல் மண்,"பருத்தி தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00025,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,sandy,மணல் மண்,"பருத்தி தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00026,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,clay,களிமண்,"பருத்தி தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00027,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,loamy,கலப்பு மண்,"பருத்தி தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00028,crop_selection,பயிர் தேர்வு,cotton,பருத்தி,laterite,சரளை மண்,"பருத்தி தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00029,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,red,செம்மண்,"நிலக்கடலை தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00030,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,black,கரிசல் மண்,"நிலக்கடலை தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00031,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,alluvial,வண்டல் மண்,"நிலக்கடலை தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00032,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,sandy,மணல் மண்,"நிலக்கடலை தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00033,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,clay,களிமண்,"நிலக்கடலை தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00034,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,loamy,கலப்பு மண்,"நிலக்கடலை தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00035,crop_selection,பயிர் தேர்வு,groundnut,நிலக்கடலை,laterite,சரளை மண்,"நிலக்கடலை தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00036,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,red,செம்மண்,"மக்காச்சோளம் தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00037,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,black,கரிசல் மண்,"மக்காச்சோளம் தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00038,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,alluvial,வண்டல் மண்,"மக்காச்சோளம் தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00039,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,sandy,மணல் மண்,"மக்காச்சோளம் தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00040,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,clay,களிமண்,"மக்காச்சோளம் தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00041,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,loamy,கலப்பு மண்,"மக்காச்சோளம் தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00042,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,laterite,சரளை மண்,"மக்காச்சோளம் தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00043,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,red,செம்மண்,"சிறுதானியம் தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00044,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,black,கரிசல் மண்,"சிறுதானியம் தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00045,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,alluvial,வண்டல் மண்,"சிறுதானியம் தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00046,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,sandy,மணல் மண்,"சிறுதானியம் தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00047,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,clay,களிமண்,"சிறுதானியம் தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00048,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,loamy,கலப்பு மண்,"சிறுதானியம் தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00049,crop_selection,பயிர் தேர்வு,millet,சிறுதானியம்,laterite,சரளை மண்,"சிறுதானியம் தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00050,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,red,செம்மண்,"தக்காளி தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00051,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,black,கரிசல் மண்,"தக்காளி தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00052,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,alluvial,வண்டல் மண்,"தக்காளி தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00053,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,sandy,மணல் மண்,"தக்காளி தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00054,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,clay,களிமண்,"தக்காளி தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00055,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,loamy,கலப்பு மண்,"தக்காளி தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00056,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,laterite,சரளை மண்,"தக்காளி தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00057,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,red,செம்மண்,"மிளகாய் தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00058,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,black,கரிசல் மண்,"மிளகாய் தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00059,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,alluvial,வண்டல் மண்,"மிளகாய் தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00060,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,sandy,மணல் மண்,"மிளகாய் தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00061,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,clay,களிமண்,"மிளகாய் தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00062,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,loamy,கலப்பு மண்,"மிளகாய் தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00063,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,laterite,சரளை மண்,"மிளகாய் தொடர்பான முடிவை சரளை மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00064,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,red,செம்மண்,"வெங்காயம் தொடர்பான முடிவை செம்மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00065,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,black,கரிசல் மண்,"வெங்காயம் தொடர்பான முடிவை கரிசல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00066,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,alluvial,வண்டல் மண்,"வெங்காயம் தொடர்பான முடிவை வண்டல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00067,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,sandy,மணல் மண்,"வெங்காயம் தொடர்பான முடிவை மணல் மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00068,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,clay,களிமண்,"வெங்காயம் தொடர்பான முடிவை களிமண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
CA_00069,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,loamy,கலப்பு மண்,"வெங்காயம் தொடர்பான முடிவை கலப்பு மண், Tamil Nadu பகுதி, பருவம் மற்றும் பாசன வசதியை வைத்து எடுக்க வேண்டும். முதலில் மண் பரிசோதனை, சரியான விதை, நிலத் தயாரிப்பு மற்றும் நீர் மேலாண்மையை திட்டமிடுங்கள்."
