intent_signature,intent,intent_tamil,crop,crop_tamil,soil_type,soil_tamil,required_entities,response_policy
AGR|CROP_SELECTION|CROP=maize|SOIL=black,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=alluvial,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=sandy,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=clay,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=loamy,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=maize|SOIL=laterite,crop_selection,பயிர் தேர்வு,maize,மக்காச்சோளம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=red,crop_selection,பயிர் தேர்வு,millet,கம்பு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=black,crop_selection,பயிர் தேர்வு,millet,கம்பு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=alluvial,crop_selection,பயிர் தேர்வு,millet,கம்பு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=sandy,crop_selection,பயிர் தேர்வு,millet,கம்பு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=clay,crop_selection,பயிர் தேர்வு,millet,கம்பு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=loamy,crop_selection,பயிர் தேர்வு,millet,கம்பு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=millet|SOIL=laterite,crop_selection,பயிர் தேர்வு,millet,கம்பு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=red,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=black,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=alluvial,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=sandy,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=clay,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=loamy,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tomato|SOIL=laterite,crop_selection,பயிர் தேர்வு,tomato,தக்காளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=red,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=black,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=alluvial,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=sandy,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=clay,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=loamy,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=chilli|SOIL=laterite,crop_selection,பயிர் தேர்வு,chilli,மிளகாய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=red,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=black,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=alluvial,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=sandy,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=clay,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=loamy,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=onion|SOIL=laterite,crop_selection,பயிர் தேர்வு,onion,வெங்காயம்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=red,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=black,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=alluvial,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=sandy,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=clay,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=loamy,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=turmeric|SOIL=laterite,crop_selection,பயிர் தேர்வு,turmeric,மஞ்சள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=red,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=black,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=alluvial,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=sandy,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=clay,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=loamy,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=brinjal|SOIL=laterite,crop_selection,பயிர் தேர்வு,brinjal,கத்தரிக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=red,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=black,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=alluvial,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=sandy,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=clay,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=loamy,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=okra|SOIL=laterite,crop_selection,பயிர் தேர்வு,okra,வெண்டைக்காய்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=red,crop_selection,பயிர் தேர்வு,coconut,தென்னை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=black,crop_selection,பயிர் தேர்வு,coconut,தென்னை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=alluvial,crop_selection,பயிர் தேர்வு,coconut,தென்னை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=sandy,crop_selection,பயிர் தேர்வு,coconut,தென்னை,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=clay,crop_selection,பயிர் தேர்வு,coconut,தென்னை,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=loamy,crop_selection,பயிர் தேர்வு,coconut,தென்னை,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=coconut|SOIL=laterite,crop_selection,பயிர் தேர்வு,coconut,தென்னை,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=red,crop_selection,பயிர் தேர்வு,pulses,பயறு,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=black,crop_selection,பயிர் தேர்வு,pulses,பயறு,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=alluvial,crop_selection,பயிர் தேர்வு,pulses,பயறு,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=sandy,crop_selection,பயிர் தேர்வு,pulses,பயறு,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=clay,crop_selection,பயிர் தேர்வு,pulses,பயறு,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=loamy,crop_selection,பயிர் தேர்வு,pulses,பயறு,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=pulses|SOIL=laterite,crop_selection,பயிர் தேர்வு,pulses,பயறு,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=red,crop_selection,பயிர் தேர்வு,sesame,எள்,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=black,crop_selection,பயிர் தேர்வு,sesame,எள்,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=alluvial,crop_selection,பயிர் தேர்வு,sesame,எள்,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=sandy,crop_selection,பயிர் தேர்வு,sesame,எள்,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=clay,crop_selection,பயிர் தேர்வு,sesame,எள்,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=loamy,crop_selection,பயிர் தேர்வு,sesame,எள்,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=sesame|SOIL=laterite,crop_selection,பயிர் தேர்வு,sesame,எள்,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=red,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=black,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=alluvial,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=sandy,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,sandy,மணல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=clay,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,clay,களிமண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=loamy,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,loamy,கலப்பு மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=tapioca|SOIL=laterite,crop_selection,பயிர் தேர்வு,tapioca,மரவள்ளி,laterite,சரளை மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=drumstick|SOIL=red,crop_selection,பயிர் தேர்வு,drumstick,முருங்கை,red,செம்மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=drumstick|SOIL=black,crop_selection,பயிர் தேர்வு,drumstick,முருங்கை,black,கரிசல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
AGR|CROP_SELECTION|CROP=drumstick|SOIL=alluvial,crop_selection,பயிர் தேர்வு,drumstick,முருங்கை,alluvial,வண்டல் மண்,"crop,soil; add district/season/stage when present",retrieve canonical answer; live lookup for price/weather/schemes
