canonical_answer_id,intent,crop,answer
ans_fee2afeb2e,soil_suitability_check,Banana,"Banana suits Alluvial, Red loamy soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_0c31a86b78,market_price,Banana,Market prices for Banana change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_d6ee86dbbe,market_price,Sesame,Market prices for Sesame change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_5ab398c356,market_price,Chilli,Market prices for Chilli change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_4aea7541a2,soil_suitability_check,Maize,"Maize suits Red loamy, Alluvial, Sandy loam soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_b3f8e4e9a6,soil_suitability_check,Brinjal,"Brinjal suits Red loamy, Alluvial soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_af91f45b97,market_price,Rice,Market prices for Rice change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_bd933e3699,fertilizer_schedule,Sugarcane,"For Sugarcane, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_9f8a42278e,crop_selection_for_soil,Sugarcane,"Sugarcane grows well in Alluvial, Black cotton, Red loamy soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_a2476e80e3,seed_variety,Cotton,"Choose a Cotton variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_8f71a2e8bc,fertilizer_schedule,Black gram,"For Black gram, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_f06fc3d90d,water_requirement,Green gram,Green gram needs about 300-450mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_b505e49bb5,pest_disease,Sesame,"Sesame is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_cb66f1684e,seed_variety,Banana,"Choose a Banana variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_012d4e0d1f,harvest_time,Onion,"Onion is typically ready for harvest around 110 days after sowing/planting, depending on variety and local conditions."
ans_dae193c559,water_requirement,Groundnut,Groundnut needs about 500-700mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_f93fc2cb97,pest_disease,Sugarcane,"Sugarcane is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_d19d08d13c,harvest_time,Maize,"Maize is typically ready for harvest around 100 days after sowing/planting, depending on variety and local conditions."
ans_3f498161f8,crop_selection_for_soil,Coconut,"Coconut grows well in Red loamy, Sandy loam, Alluvial soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_021444b46b,pest_disease,Coconut,"Coconut is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_d3e4e6a707,loan_info,Sorghum,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_7d7d202ab9,soil_suitability_check,Sorghum,"Sorghum suits Black cotton, Red loamy soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_809801e076,fertilizer_schedule,Rice,"For Rice, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_afc6cd68e3,harvest_time,Rice,"Rice is typically ready for harvest around 120 days after sowing/planting, depending on variety and local conditions."
ans_0d575dcc95,crop_selection_for_soil,Millet (Bajra),"Millet (Bajra) grows well in Sandy loam, Red loamy soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_bc4216d3ae,loan_info,Banana,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_2a6f530019,harvest_time,Groundnut,"Groundnut is typically ready for harvest around 110 days after sowing/planting, depending on variety and local conditions."
ans_c22360a60f,harvest_time,Black gram,"Black gram is typically ready for harvest around 75 days after sowing/planting, depending on variety and local conditions."
ans_37eabd1996,loan_info,Black gram,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_ec9cd83604,soil_suitability_check,Sesame,"Sesame suits Red loamy, Sandy loam soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_6f0e660862,sowing_time,Cotton,The recommended sowing window for Cotton in Tamil Nadu is May-Jun (rainfed) or Aug-Sep (irrigated).
ans_dbfcfb843e,water_requirement,Sorghum,"Sorghum needs about 400-600mm, drought-tolerant of water across its growing period. Adjust for local rainfall and soil water-holding capacity."
ans_ecfba8fbf9,government_scheme,Banana,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_c8fe99c2a4,sowing_time,Rice,The recommended sowing window for Rice in Tamil Nadu is Jun-Jul (kharif) or Dec-Jan (rabi).
ans_5703b38aa3,seed_variety,Sesame,"Choose a Sesame variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_51b3761424,soil_suitability_check,Millet (Bajra),"Millet (Bajra) suits Sandy loam, Red loamy soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_1d45b22b70,seed_variety,Green gram,"Choose a Green gram variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_cedb92505e,soil_suitability_check,Tomato,"Tomato suits Red loamy, Sandy loam, Alluvial soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_6c7af4a837,pest_disease,Chilli,"Chilli is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_e716fadd0a,market_price,Maize,Market prices for Maize change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_2185f67880,yield_expectation,Rice,"Rice yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_a75fcc28bc,pest_disease,Black gram,"Black gram is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_72d3db064e,sowing_time,Brinjal,The recommended sowing window for Brinjal in Tamil Nadu is Jun-Jul or Oct-Nov.
ans_c6d28f0a2d,harvest_time,Banana,"Banana is typically ready for harvest around 300 days after sowing/planting, depending on variety and local conditions."
ans_9d18616c88,pest_disease,Cotton,"Cotton is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_ee980889b6,fertilizer_schedule,Cotton,"For Cotton, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_b87175fdb1,crop_selection_for_soil,Maize,"Maize grows well in Red loamy, Alluvial, Sandy loam soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_23a5bc2b70,fertilizer_schedule,Sesame,"For Sesame, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_20f9263ae3,yield_expectation,Onion,"Onion yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_25c8be6793,loan_info,Sesame,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_3431580127,loan_info,Tomato,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_ba34bc0dbd,government_scheme,Tomato,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_e2aa6b23c8,soil_suitability_check,Black gram,"Black gram suits Black cotton, Alluvial, Red loamy soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_9ebf7f8838,fertilizer_schedule,Coconut,"For Coconut, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_e946b7479b,pest_disease,Brinjal,"Brinjal is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_851dcc3986,market_price,Sunflower,Market prices for Sunflower change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_369823697a,yield_expectation,Sorghum,"Sorghum yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_25d2e4682e,seed_variety,Coconut,"Choose a Coconut variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_ea071c2ef4,water_requirement,Brinjal,Brinjal needs about 500-700mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_232eebc9a0,loan_info,Sunflower,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_8d980e3a83,soil_suitability_check,Chilli,"Chilli suits Red loamy, Black cotton, Sandy loam soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_d277c0063b,sowing_time,Onion,The recommended sowing window for Onion in Tamil Nadu is Sep-Oct or Dec-Jan.
ans_1e6f13cea5,government_scheme,Green gram,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_56b24169b3,water_requirement,Banana,"Banana needs about 1800-2200mm/year, drip-fed of water across its growing period. Adjust for local rainfall and soil water-holding capacity."
ans_089a0fcf9e,fertilizer_schedule,Turmeric,"For Turmeric, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_90cdeb968f,yield_expectation,Sunflower,"Sunflower yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_c1f33c3a9c,soil_suitability_check,Onion,"Onion suits Red loamy, Alluvial soil types. Upload your soil test report (pH, N, P, K) for a precise suitability check against your actual field data."
ans_776a1999a4,government_scheme,Sugarcane,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_f642a0b9db,pest_disease,Turmeric,"Turmeric is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_0591c6d773,harvest_time,Green gram,"Green gram is typically ready for harvest around 65 days after sowing/planting, depending on variety and local conditions."
ans_2f736a1724,crop_selection_for_soil,Sesame,"Sesame grows well in Red loamy, Sandy loam soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_b65ea4c4ea,fertilizer_schedule,Tomato,"For Tomato, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_0bebc22317,water_requirement,Rice,Rice needs about 1200-1500mm across the season (flooded/AWD) of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_15662d0bad,crop_selection_for_soil,Brinjal,"Brinjal grows well in Red loamy, Alluvial soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_7c340e73d0,loan_info,Maize,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_0e666f77cd,seed_variety,Maize,"Choose a Maize variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_2ea8fb33e4,pest_disease,Rice,"Rice is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_8bb7b5cfcb,seed_variety,Black gram,"Choose a Black gram variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_0c7f9007b9,market_price,Sorghum,Market prices for Sorghum change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_9c71f776ca,market_price,Black gram,Market prices for Black gram change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_8dac00bc5b,seed_variety,Chilli,"Choose a Chilli variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_ce4ccdb693,loan_info,Onion,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_b20d998b61,harvest_time,Sugarcane,"Sugarcane is typically ready for harvest around 330 days after sowing/planting, depending on variety and local conditions."
ans_81a19b0454,government_scheme,Black gram,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_74d2714c33,loan_info,Green gram,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_4e68ac437e,loan_info,Sugarcane,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_e75f778e59,government_scheme,Coconut,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_23dd0358aa,yield_expectation,Maize,"Maize yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_6ad04dc0dc,market_price,Turmeric,Market prices for Turmeric change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_6d75a0c570,water_requirement,Sesame,Sesame needs about 350-500mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_8677068751,fertilizer_schedule,Sunflower,"For Sunflower, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_1ab4062667,loan_info,Cotton,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_5b81a0b4a2,water_requirement,Maize,Maize needs about 500-800mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_508e2eb7eb,fertilizer_schedule,Brinjal,"For Brinjal, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_75a095bd24,water_requirement,Sunflower,Sunflower needs about 500-700mm of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_d104b4b303,fertilizer_schedule,Maize,"For Maize, apply farmyard manure at land preparation, followed by NPK in split doses at basal, vegetative, and reproductive stages. Get an exact dose from your soil test report or nearest Krishi Vigyan Kendra -- rates vary by soil fertility."
ans_5eab27d92c,crop_selection_for_soil,Tomato,"Tomato grows well in Red loamy, Sandy loam, Alluvial soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_e66fa2e266,loan_info,Rice,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_287b8f64dd,crop_selection_for_soil,Turmeric,"Turmeric grows well in Red loamy, Black cotton soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_46378bec0a,harvest_time,Sesame,"Sesame is typically ready for harvest around 90 days after sowing/planting, depending on variety and local conditions."
ans_1eb9be97d8,harvest_time,Tomato,"Tomato is typically ready for harvest around 90 days after sowing/planting, depending on variety and local conditions."
ans_c1aee598bf,water_requirement,Cotton,"Cotton needs about 700-1200mm, drought-tolerant once established of water across its growing period. Adjust for local rainfall and soil water-holding capacity."
ans_636a255703,seed_variety,Sugarcane,"Choose a Sugarcane variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_e4260517b9,market_price,Coconut,Market prices for Coconut change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_dc40e9fa7e,government_scheme,Onion,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_11cf4b9b60,government_scheme,Sorghum,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_c1e26f3c41,loan_info,Brinjal,Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_b90accb123,pest_disease,Onion,"Onion is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_c275aced13,sowing_time,Sugarcane,The recommended sowing window for Sugarcane in Tamil Nadu is Dec-Jan or Jun-Jul.
ans_2d8f396526,market_price,Groundnut,Market prices for Groundnut change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_b75569706a,pest_disease,Banana,"Banana is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_123811f975,crop_selection_for_soil,Sunflower,"Sunflower grows well in Black cotton, Red loamy, Alluvial soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_ed75092a8a,yield_expectation,Sugarcane,"Sugarcane yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_c06bbfeb35,market_price,Onion,Market prices for Onion change daily. Check the current mandi rate on the e-NAM portal or your nearest Uzhavar Sandhai before deciding when to sell -- do not rely on a fixed number.
ans_abfdc4cce6,seed_variety,Groundnut,"Choose a Groundnut variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_107e1f2147,government_scheme,Maize,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_94411107b0,government_scheme,Sesame,"Common schemes include PM-KISAN (income support), PMFBY (crop insurance), and Kisan Credit Card (loans). Eligibility and current benefit amounts should be confirmed at your nearest Common Service Centre or agriculture.tn.gov.in, since scheme terms are revised periodically."
ans_eca8b64ad8,pest_disease,Tomato,"Tomato is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_f65b8c9b9a,water_requirement,Millet (Bajra),"Millet (Bajra) needs about 350-500mm, very drought-tolerant of water across its growing period. Adjust for local rainfall and soil water-holding capacity."
ans_a1469d58bc,pest_disease,Maize,"Maize is commonly affected by stem borers, aphids, and fungal leaf spots depending on season. Scout the field weekly; confirm any pesticide choice and dosage with your local Agriculture Officer before applying."
ans_69f9602a79,loan_info,Millet (Bajra),Kisan Credit Card loans are available through nationalized and cooperative banks at subsidized interest for crop and allied activities. Interest rates and limits change periodically -- confirm current terms at your nearest bank branch.
ans_20f77260e7,yield_expectation,Millet (Bajra),"Millet (Bajra) yield depends heavily on soil, variety, and management -- your Agriculture Extension Office can give a realistic expected range for your specific field and variety rather than a generic number."
ans_537dbb8357,sowing_time,Turmeric,The recommended sowing window for Turmeric in Tamil Nadu is Apr-May.
ans_fe4e236ffd,crop_selection_for_soil,Green gram,"Green gram grows well in Red loamy, Alluvial, Sandy loam soil. If your soil test report shows different values, match it against the crop suitability table for your district's Agriculture Extension Office before finalizing."
ans_057696b85f,water_requirement,Coconut,Coconut needs about 1300mm/year or ~40L/palm/day drip of water across its growing period. Adjust for local rainfall and soil water-holding capacity.
ans_7df978bcb5,seed_variety,Brinjal,"Choose a Brinjal variety recommended by TNAU for your district and season -- disease-resistant, high-yield varieties are updated each season, so confirm with your Agriculture Extension Office or TNAU Agritech Portal before buying seed."
ans_a7611809e3,harvest_time,Brinjal,"Brinjal is typically ready for harvest around 100 days after sowing/planting, depending on variety and local conditions."
