soil_type,soil_name_tamil,texture,drainage,pH_range,organic_matter,water_holding_capacity,crop,crop_water_requirement,recommended_irrigation,irrigation_note,fertilizer_strategy,fertilizer_caution
Alluvial,வண்டல் மண்,மணல் 31–62% / வண்டல் 15–39% / களிமண் 19–39%,மிதமான–நல்ல வடிகால்,6.8–8.4,0.30–1.49%,40–68%,நெல்,அதிகம்,surface/சொட்டு,நீர் நன்றாக கிடைத்தால்; சொட்டு பொதுவாக முதன்மை தேர்வு அல்ல,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Coastal Alluvium,கடலோர வண்டல் மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,வேகமான–மிதமான வடிகால்,7.0–8.4,0.30–1.49%,35–50%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Coastal Alluvium,கடலோர வண்டல் மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,வேகமான–மிதமான வடிகால்,7.0–8.4,0.30–1.49%,35–50%,தேங்காய்,மிதமான,சொட்டு,வேர் பகுதியில் கட்டுப்படுத்தப்பட்ட பாசனம் உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Coastal Alluvium,கடலோர வண்டல் மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,வேகமான–மிதமான வடிகால்,7.0–8.4,0.30–1.49%,35–50%,எள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,நீர் தேங்காத மண் முக்கியம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Deep Red Loam,ஆழமான செம்மண்,மணல் 35–53% / வண்டல் 20–36% / களிமண் 24–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Deep Red Loam,ஆழமான செம்மண்,மணல் 35–53% / வண்டல் 20–36% / களிமண் 24–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,சோளம்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,குறைந்த நீரில் திட்டமிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Deep Red Loam,ஆழமான செம்மண்,மணல் 35–53% / வண்டல் 20–36% / களிமண் 24–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,மக்காச்சோளம்,மிதமான,சொட்டு/தெளிப்பு,நீர் கிடைப்பைப் பொறுத்து தேர்வு,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Deep Red Loam,ஆழமான செம்மண்,மணல் 35–53% / வண்டல் 20–36% / களிமண் 24–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,கேழ்வரகு,குறைந்த,மழை சார்ந்த/துணை பாசனம்,நீர் குறைவாக இருந்தால் ஏற்றது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Deep Red Loam,ஆழமான செம்மண்,மணல் 35–53% / வண்டல் 20–36% / களிமண் 24–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,பருத்தி,மிதமான,சொட்டு/தெளிப்பு,குறைந்த நீர் நிலையில் சொட்டு உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Laterite,செம்மண்-சரளை மண்,மணல் 37–61% / வண்டல் 19–36% / களிமண் 20–33%,நல்ல வடிகால்,5.8–7.9,0.30–1.49%,40–58%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Laterite,செம்மண்-சரளை மண்,மணல் 37–61% / வண்டல் 19–36% / களிமண் 20–33%,நல்ல வடிகால்,5.8–7.9,0.30–1.49%,40–58%,சிறுதானியங்கள்,குறைந்த,மழை சார்ந்த/துணை பாசனம்,குறைந்த நீரில் பயிரிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Laterite,செம்மண்-சரளை மண்,மணல் 37–61% / வண்டல் 19–36% / களிமண் 20–33%,நல்ல வடிகால்,5.8–7.9,0.30–1.49%,40–58%,பயறு வகைகள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,அதிக நீர்ப்பாசனம் தவிர்க்கவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Laterite,செம்மண்-சரளை மண்,மணல் 37–61% / வண்டல் 19–36% / களிமண் 20–33%,நல்ல வடிகால்,5.8–7.9,0.30–1.49%,40–58%,தேங்காய்,மிதமான,சொட்டு,வேர் பகுதியில் கட்டுப்படுத்தப்பட்ட பாசனம் உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,மக்காச்சோளம்,மிதமான,சொட்டு/தெளிப்பு,நீர் கிடைப்பைப் பொறுத்து தேர்வு,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,சோளம்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,குறைந்த நீரில் திட்டமிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,கேழ்வரகு,குறைந்த,மழை சார்ந்த/துணை பாசனம்,நீர் குறைவாக இருந்தால் ஏற்றது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,பருத்தி,மிதமான,சொட்டு/தெளிப்பு,குறைந்த நீர் நிலையில் சொட்டு உதவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Loam,செம்மண்,மணல் 31–53% / வண்டல் 20–39% / களிமண் 21–36%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,45–65%,பயறு வகைகள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,அதிக நீர்ப்பாசனம் தவிர்க்கவும்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Loam,செம்மணல் கலந்த மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–50%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Loam,செம்மணல் கலந்த மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–50%,எள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,நீர் தேங்காத மண் முக்கியம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Loam,செம்மணல் கலந்த மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–50%,சிறுதானியங்கள்,குறைந்த,மழை சார்ந்த/துணை பாசனம்,குறைந்த நீரில் பயிரிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Loam,செம்மணல் கலந்த மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–50%,சோளம்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,குறைந்த நீரில் திட்டமிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Loam,செம்மணல் கலந்த மண்,மணல் 50–62% / வண்டல் 15–30% / களிமண் 19–25%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–50%,மக்காச்சோளம்,மிதமான,சொட்டு/தெளிப்பு,நீர் கிடைப்பைப் பொறுத்து தேர்வு,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Soil,செம்மணல் மண்,மணல் 53–62% / வண்டல் 15–28% / களிமண் 19–24%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–47%,நிலக்கடலை,மிதமான,தெளிப்பு/சொட்டு,மண்ணின் வடிகால் மற்றும் நீர் கிடைப்பைப் பொறுத்தது,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Soil,செம்மணல் மண்,மணல் 53–62% / வண்டல் 15–28% / களிமண் 19–24%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–47%,எள்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,நீர் தேங்காத மண் முக்கியம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Soil,செம்மணல் மண்,மணல் 53–62% / வண்டல் 15–28% / களிமண் 19–24%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–47%,சிறுதானியங்கள்,குறைந்த,மழை சார்ந்த/துணை பாசனம்,குறைந்த நீரில் பயிரிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
Red Sandy Soil,செம்மணல் மண்,மணல் 53–62% / வண்டல் 15–28% / களிமண் 19–24%,நல்ல வடிகால்,6.8–8.4,0.30–1.49%,35–47%,சோளம்,குறைந்த–மிதமான,தெளிப்பு/சொட்டு,குறைந்த நீரில் திட்டமிடலாம்,மண் பரிசோதனை அடிப்படையில் N-P-K; கரிமப் பொருள் நிலையைப் பொறுத்து கம்போஸ்ட்/தொழு உரம் சேர்க்கவும்,மண் பரிசோதனை இல்லாமல் நிரந்தர N-P-K அளவை நிர்ணயிக்க வேண்டாம்
