farmer_id,district,taluk,village,farm_size,experience,primary_crop,preferred_language
F0109,Cuddalore,Cuddalore,Kumaratchi,5.67,26,Groundnut,English
F0110,Cuddalore,Cuddalore,Sethiathope,0.8,28,Groundnut,Tamil
F0111,Cuddalore,Cuddalore,Kurinjipadi,7.71,37,Rice,Tamil
F0112,Thanjavur,Thanjavur,Melattur,4.03,29,Rice,English
F0113,Thanjavur,Orathanadu,Ammapettai,4.03,27,Sugarcane,Tamil
F0114,Thanjavur,Papanasam,Budalur,5.7,19,Rice,Tamil
F0115,Cuddalore,Virudhachalam,Nallur,2.86,21,Rice,Tamil
F0116,Cuddalore,Virudhachalam,Kumaratchi,0.91,34,Rice,Tamil
F0117,Cuddalore,Cuddalore,Kurinjipadi,2.5,9,Groundnut,English
F0118,Cuddalore,Cuddalore,Nallur,7.8,39,Groundnut,Tamil
F0119,Thanjavur,Thanjavur,Ayyampettai,3.56,15,Rice,English
F0120,Thanjavur,Thanjavur,Melattur,4.24,19,Sugarcane,Tamil
F0121,Cuddalore,Virudhachalam,Kumaratchi,2.33,36,Groundnut,Tamil
F0122,Thanjavur,Thanjavur,Thiruvaiyaru,6.3,27,Rice,Tamil
F0123,Cuddalore,Panruti,Parangipettai,6.78,38,Rice,English
F0124,Cuddalore,Virudhachalam,Sethiathope,4.13,22,Groundnut,Tamil
F0125,Cuddalore,Panruti,Kurinjipadi,7.86,16,Groundnut,Tamil
F0126,Thanjavur,Thanjavur,Thiruvaiyaru,6.09,25,Sugarcane,Tamil
F0127,Thanjavur,Thanjavur,Melattur,4.27,38,Sugarcane,Tamil
F0128,Thanjavur,Thanjavur,Ayyampettai,7.33,1,Sugarcane,Tamil
F0129,Cuddalore,Cuddalore,Kumaratchi,6.36,17,Groundnut,Tamil
F0130,Cuddalore,Panruti,Sethiathope,3.35,21,Rice,Tamil
F0131,Cuddalore,Cuddalore,Kurinjipadi,5.23,19,Rice,English
F0132,Thanjavur,Thanjavur,Ammapettai,3.83,20,Sugarcane,English
F0133,Thanjavur,Thanjavur,Thiruvaiyaru,3.19,28,Rice,Tamil
F0134,Cuddalore,Chidambaram,Kurinjipadi,1.09,25,Groundnut,Tamil
F0135,Thanjavur,Kumbakonam,Melattur,3.96,17,Sugarcane,Tamil
F0136,Thanjavur,Papanasam,Ayyampettai,1.68,29,Sugarcane,English
F0137,Cuddalore,Panruti,Kumaratchi,6.84,13,Groundnut,English
F0138,Cuddalore,Chidambaram,Kumaratchi,4.79,37,Rice,Tamil
F0139,Cuddalore,Virudhachalam,Parangipettai,0.56,4,Rice,English
F0140,Cuddalore,Chidambaram,Sethiathope,6.51,15,Rice,Tamil
F0141,Cuddalore,Cuddalore,Nallur,2.82,29,Groundnut,Tamil
F0142,Cuddalore,Cuddalore,Parangipettai,2.95,27,Groundnut,Tamil
F0143,Thanjavur,Papanasam,Melattur,2.43,31,Rice,English
F0144,Cuddalore,Cuddalore,Kumaratchi,7.72,10,Rice,Tamil
F0145,Thanjavur,Papanasam,Ammapettai,6.43,1,Sugarcane,Tamil
F0146,Thanjavur,Papanasam,Thiruvaiyaru,4.88,24,Sugarcane,Tamil
F0147,Thanjavur,Thanjavur,Ayyampettai,7.13,36,Sugarcane,Tamil
F0148,Thanjavur,Orathanadu,Thiruvaiyaru,5.37,8,Rice,Tamil
F0149,Thanjavur,Orathanadu,Ammapettai,1.23,35,Rice,Tamil
F0150,Cuddalore,Virudhachalam,Sethiathope,6.07,10,Rice,English
F0151,Thanjavur,Orathanadu,Thiruvaiyaru,0.75,24,Sugarcane,Tamil
F0152,Cuddalore,Panruti,Nallur,7.86,24,Groundnut,Tamil
F0153,Cuddalore,Virudhachalam,Parangipettai,1.92,8,Rice,English
F0154,Cuddalore,Chidambaram,Sethiathope,7.78,4,Rice,Tamil
F0155,Thanjavur,Kumbakonam,Ammapettai,6.72,36,Rice,Tamil
F0156,Thanjavur,Papanasam,Melattur,6.41,39,Rice,Tamil
F0157,Thanjavur,Papanasam,Melattur,1.32,2,Rice,Tamil
F0158,Cuddalore,Panruti,Nallur,1.81,4,Groundnut,Tamil
F0159,Cuddalore,Cuddalore,Kumaratchi,3.86,24,Rice,Tamil
F0160,Thanjavur,Kumbakonam,Ayyampettai,0.83,34,Sugarcane,Tamil
F0161,Thanjavur,Orathanadu,Budalur,3.7,7,Rice,Tamil
F0162,Cuddalore,Cuddalore,Parangipettai,5.06,5,Rice,Tamil
F0163,Cuddalore,Panruti,Kumaratchi,4.29,28,Groundnut,Tamil
F0164,Thanjavur,Orathanadu,Budalur,7.16,27,Rice,Tamil
F0165,Cuddalore,Virudhachalam,Nallur,2.84,21,Groundnut,Tamil
F0166,Cuddalore,Virudhachalam,Nallur,1.18,6,Groundnut,Tamil
F0167,Thanjavur,Kumbakonam,Ayyampettai,0.95,36,Rice,Tamil
F0168,Thanjavur,Papanasam,Budalur,7.01,4,Sugarcane,English
F0169,Cuddalore,Cuddalore,Sethiathope,4.31,10,Rice,Tamil
F0170,Thanjavur,Papanasam,Ayyampettai,3.26,18,Rice,Tamil
F0171,Cuddalore,Panruti,Nallur,1.85,20,Rice,English
F0172,Cuddalore,Chidambaram,Kurinjipadi,4.75,26,Rice,Tamil
F0173,Thanjavur,Kumbakonam,Budalur,3.65,22,Rice,Tamil
F0174,Cuddalore,Cuddalore,Nallur,1.67,40,Rice,Tamil
F0175,Thanjavur,Orathanadu,Budalur,4.14,29,Rice,Tamil
F0176,Thanjavur,Papanasam,Budalur,1.33,38,Rice,Tamil
F0177,Cuddalore,Chidambaram,Kumaratchi,7.88,4,Rice,Tamil
F0178,Cuddalore,Chidambaram,Parangipettai,2.67,8,Groundnut,Tamil
F0179,Cuddalore,Chidambaram,Kumaratchi,4.49,15,Groundnut,Tamil
F0180,Cuddalore,Virudhachalam,Nallur,3.77,30,Rice,English
F0181,Cuddalore,Virudhachalam,Kumaratchi,2.67,26,Groundnut,Tamil
F0182,Cuddalore,Virudhachalam,Parangipettai,1.16,7,Groundnut,Tamil
F0183,Cuddalore,Virudhachalam,Parangipettai,6.09,15,Rice,Tamil
F0184,Thanjavur,Thanjavur,Ayyampettai,4.32,23,Rice,Tamil
F0185,Thanjavur,Thanjavur,Melattur,2.42,12,Rice,Tamil
F0186,Thanjavur,Orathanadu,Budalur,6.16,38,Rice,Tamil
F0187,Cuddalore,Chidambaram,Kumaratchi,1.01,29,Rice,Tamil
F0188,Cuddalore,Panruti,Sethiathope,1.06,30,Rice,Tamil
F0189,Thanjavur,Papanasam,Ammapettai,5.33,6,Rice,Tamil
F0190,Cuddalore,Cuddalore,Kumaratchi,7.32,37,Groundnut,Tamil
F0191,Cuddalore,Chidambaram,Nallur,3.88,22,Groundnut,English
F0192,Thanjavur,Thanjavur,Melattur,5.81,29,Rice,Tamil
F0193,Thanjavur,Papanasam,Thiruvaiyaru,3.41,22,Rice,Tamil
F0194,Thanjavur,Thanjavur,Thiruvaiyaru,1.21,25,Rice,Tamil
F0195,Thanjavur,Thanjavur,Ayyampettai,5.48,23,Rice,Tamil
F0196,Cuddalore,Cuddalore,Parangipettai,4.69,22,Groundnut,Tamil
F0197,Thanjavur,Papanasam,Ammapettai,3.22,12,Sugarcane,English
F0198,Cuddalore,Chidambaram,Kurinjipadi,8.0,10,Groundnut,Tamil
F0199,Thanjavur,Papanasam,Ayyampettai,1.48,25,Rice,Tamil
F0200,Thanjavur,Orathanadu,Ammapettai,3.58,16,Rice,English
F0201,Cuddalore,Chidambaram,Sethiathope,2.29,31,Groundnut,English
F0202,Thanjavur,Orathanadu,Budalur,6.27,25,Rice,Tamil
F0203,Cuddalore,Chidambaram,Sethiathope,1.54,17,Groundnut,Tamil
F0204,Cuddalore,Cuddalore,Sethiathope,6.88,19,Rice,Tamil
F0205,Thanjavur,Orathanadu,Ayyampettai,1.61,28,Rice,Tamil
F0206,Thanjavur,Papanasam,Ammapettai,3.61,26,Sugarcane,Tamil
F0207,Thanjavur,Thanjavur,Thiruvaiyaru,2.18,21,Sugarcane,English
F0208,Cuddalore,Chidambaram,Nallur,2.65,31,Groundnut,Tamil
F0209,Thanjavur,Orathanadu,Ayyampettai,0.54,6,Sugarcane,Tamil
F0210,Thanjavur,Orathanadu,Ammapettai,6.32,16,Rice,Tamil
F0211,Thanjavur,Orathanadu,Ayyampettai,3.93,8,Rice,Tamil
F0212,Cuddalore,Chidambaram,Kurinjipadi,2.68,1,Rice,Tamil
F0213,Thanjavur,Kumbakonam,Ammapettai,4.43,24,Sugarcane,Tamil
F0214,Thanjavur,Orathanadu,Ammapettai,5.27,24,Sugarcane,Tamil
F0215,Thanjavur,Thanjavur,Thiruvaiyaru,2.31,7,Rice,Tamil
F0216,Cuddalore,Cuddalore,Parangipettai,4.6,12,Groundnut,Tamil
F0217,Cuddalore,Chidambaram,Kurinjipadi,0.97,30,Groundnut,Tamil
F0218,Thanjavur,Kumbakonam,Ammapettai,2.87,20,Rice,Tamil
F0219,Cuddalore,Cuddalore,Kurinjipadi,2.65,4,Rice,English
F0220,Cuddalore,Cuddalore,Parangipettai,3.78,26,Rice,Tamil
F0221,Cuddalore,Chidambaram,Kumaratchi,5.69,24,Rice,English
F0222,Cuddalore,Virudhachalam,Nallur,3.73,12,Rice,Tamil
F0223,Cuddalore,Cuddalore,Parangipettai,5.46,20,Rice,Tamil
F0224,Cuddalore,Virudhachalam,Parangipettai,3.85,23,Groundnut,Tamil
F0225,Cuddalore,Cuddalore,Nallur,5.53,26,Rice,Tamil
F0226,Thanjavur,Kumbakonam,Ayyampettai,5.59,29,Rice,Tamil
F0227,Thanjavur,Papanasam,Thiruvaiyaru,3.37,37,Rice,Tamil
F0228,Thanjavur,Papanasam,Thiruvaiyaru,3.83,5,Sugarcane,Tamil
F0229,Cuddalore,Panruti,Parangipettai,2.37,8,Groundnut,Tamil
F0230,Thanjavur,Orathanadu,Ayyampettai,1.38,17,Sugarcane,Tamil
F0231,Thanjavur,Orathanadu,Melattur,1.42,5,Rice,Tamil
F0232,Cuddalore,Panruti,Parangipettai,5.82,36,Rice,Tamil
F0233,Cuddalore,Chidambaram,Parangipettai,4.32,8,Groundnut,English
F0234,Thanjavur,Orathanadu,Ammapettai,3.21,37,Rice,Tamil
F0235,Thanjavur,Thanjavur,Thiruvaiyaru,3.49,31,Rice,Tamil
F0236,Cuddalore,Chidambaram,Parangipettai,5.32,29,Rice,Tamil
F0237,Cuddalore,Chidambaram,Kurinjipadi,3.74,4,Groundnut,Tamil
F0238,Thanjavur,Kumbakonam,Melattur,2.92,15,Rice,Tamil
F0239,Cuddalore,Panruti,Kurinjipadi,5.26,36,Rice,Tamil
F0240,Cuddalore,Chidambaram,Sethiathope,7.56,10,Rice,Tamil
F0241,Cuddalore,Cuddalore,Nallur,0.84,37,Rice,Tamil
F0242,Thanjavur,Thanjavur,Budalur,7.17,35,Sugarcane,Tamil
F0243,Cuddalore,Chidambaram,Kumaratchi,2.73,5,Groundnut,Tamil
F0244,Thanjavur,Orathanadu,Budalur,3.98,22,Sugarcane,Tamil
F0245,Cuddalore,Panruti,Kumaratchi,1.48,24,Rice,Tamil
F0246,Thanjavur,Kumbakonam,Budalur,1.42,29,Rice,Tamil
F0247,Thanjavur,Papanasam,Budalur,6.98,27,Rice,Tamil
F0248,Thanjavur,Papanasam,Melattur,6.22,32,Rice,English
F0249,Cuddalore,Panruti,Kumaratchi,0.67,26,Groundnut,Tamil
F0250,Thanjavur,Papanasam,Ammapettai,0.88,32,Rice,Tamil
F0251,Cuddalore,Cuddalore,Nallur,3.73,17,Rice,Tamil
F0252,Cuddalore,Cuddalore,Kumaratchi,0.88,36,Rice,Tamil
F0253,Cuddalore,Virudhachalam,Sethiathope,3.88,36,Rice,Tamil
F0254,Thanjavur,Thanjavur,Budalur,3.3,22,Rice,Tamil
F0255,Cuddalore,Chidambaram,Sethiathope,4.32,33,Groundnut,Tamil
F0256,Thanjavur,Papanasam,Budalur,4.39,10,Rice,Tamil
F0257,Thanjavur,Papanasam,Melattur,3.45,40,Rice,Tamil
F0258,Cuddalore,Virudhachalam,Sethiathope,2.75,2,Rice,Tamil
F0259,Thanjavur,Papanasam,Ammapettai,4.98,17,Sugarcane,English
F0260,Thanjavur,Orathanadu,Melattur,4.43,40,Rice,Tamil
F0261,Cuddalore,Chidambaram,Nallur,4.79,8,Groundnut,Tamil
F0262,Cuddalore,Virudhachalam,Kurinjipadi,3.6,14,Rice,Tamil
F0263,Cuddalore,Chidambaram,Sethiathope,2.06,21,Rice,English
F0264,Cuddalore,Panruti,Kurinjipadi,3.95,35,Groundnut,Tamil
F0265,Cuddalore,Virudhachalam,Kurinjipadi,7.68,18,Rice,Tamil
F0266,Thanjavur,Papanasam,Melattur,5.68,32,Rice,Tamil
F0267,Cuddalore,Panruti,Nallur,4.8,35,Rice,Tamil
F0268,Cuddalore,Chidambaram,Parangipettai,0.82,6,Rice,Tamil
F0269,Cuddalore,Virudhachalam,Kurinjipadi,2.02,35,Rice,Tamil
F0270,Cuddalore,Cuddalore,Sethiathope,6.06,16,Groundnut,Tamil
F0271,Thanjavur,Thanjavur,Ammapettai,3.6,31,Rice,Tamil
F0272,Thanjavur,Kumbakonam,Budalur,5.4,31,Rice,Tamil
F0273,Thanjavur,Papanasam,Thiruvaiyaru,5.34,6,Rice,Tamil
F0274,Thanjavur,Kumbakonam,Budalur,7.12,12,Rice,English
F0275,Thanjavur,Orathanadu,Melattur,7.52,19,Sugarcane,English
F0276,Thanjavur,Thanjavur,Thiruvaiyaru,2.63,35,Rice,Tamil
F0277,Thanjavur,Papanasam,Melattur,6.57,22,Sugarcane,Tamil
F0278,Cuddalore,Chidambaram,Nallur,6.02,19,Rice,Tamil
F0279,Thanjavur,Orathanadu,Budalur,4.36,6,Rice,Tamil
F0280,Thanjavur,Kumbakonam,Budalur,2.93,16,Rice,Tamil
F0281,Cuddalore,Virudhachalam,Parangipettai,7.66,20,Groundnut,Tamil
F0282,Thanjavur,Papanasam,Melattur,0.97,8,Rice,Tamil
F0283,Thanjavur,Papanasam,Ammapettai,5.29,19,Sugarcane,Tamil
F0284,Thanjavur,Kumbakonam,Budalur,1.65,39,Rice,Tamil
F0285,Cuddalore,Chidambaram,Sethiathope,7.05,6,Groundnut,Tamil
F0286,Cuddalore,Cuddalore,Nallur,6.72,33,Rice,Tamil
F0287,Thanjavur,Papanasam,Ayyampettai,3.81,14,Rice,Tamil
F0288,Cuddalore,Virudhachalam,Nallur,3.9,33,Rice,Tamil
F0289,Thanjavur,Papanasam,Ammapettai,3.47,1,Sugarcane,Tamil
F0290,Thanjavur,Orathanadu,Thiruvaiyaru,5.75,35,Rice,English
F0291,Thanjavur,Thanjavur,Thiruvaiyaru,3.57,9,Sugarcane,Tamil
F0292,Cuddalore,Virudhachalam,Kumaratchi,7.02,25,Rice,Tamil
F0293,Thanjavur,Thanjavur,Melattur,7.95,26,Rice,Tamil
F0294,Thanjavur,Thanjavur,Thiruvaiyaru,3.97,35,Rice,Tamil
F0295,Cuddalore,Chidambaram,Kumaratchi,3.1,18,Groundnut,Tamil
F0296,Thanjavur,Orathanadu,Ayyampettai,6.25,2,Rice,Tamil
F0297,Thanjavur,Thanjavur,Budalur,4.98,4,Rice,Tamil
F0298,Thanjavur,Orathanadu,Melattur,4.55,4,Sugarcane,Tamil
F0299,Cuddalore,Panruti,Sethiathope,4.98,21,Groundnut,Tamil
F0300,Thanjavur,Orathanadu,Thiruvaiyaru,2.56,36,Rice,English
F0301,Thanjavur,Orathanadu,Ammapettai,7.79,25,Sugarcane,Tamil
F0302,Cuddalore,Virudhachalam,Kurinjipadi,2.75,12,Groundnut,Tamil
F0303,Cuddalore,Chidambaram,Parangipettai,6.93,10,Groundnut,Tamil
F0304,Thanjavur,Orathanadu,Ayyampettai,4.47,25,Sugarcane,Tamil
F0305,Thanjavur,Thanjavur,Budalur,6.85,6,Rice,Tamil
F0306,Thanjavur,Papanasam,Budalur,5.55,39,Rice,Tamil
F0307,Thanjavur,Kumbakonam,Budalur,2.07,22,Rice,Tamil
F0308,Thanjavur,Kumbakonam,Ammapettai,6.1,31,Rice,English
F0309,Thanjavur,Kumbakonam,Ayyampettai,2.91,19,Sugarcane,Tamil
F0310,Cuddalore,Panruti,Parangipettai,4.35,32,Rice,Tamil
F0311,Cuddalore,Chidambaram,Parangipettai,2.85,3,Rice,Tamil
F0312,Thanjavur,Thanjavur,Thiruvaiyaru,4.65,38,Rice,Tamil
F0313,Cuddalore,Chidambaram,Kurinjipadi,2.97,25,Rice,Tamil
F0314,Thanjavur,Papanasam,Thiruvaiyaru,6.23,32,Sugarcane,English
F0315,Cuddalore,Chidambaram,Parangipettai,1.77,35,Groundnut,Tamil
F0316,Thanjavur,Thanjavur,Ammapettai,6.23,27,Rice,Tamil
F0317,Thanjavur,Kumbakonam,Ammapettai,2.14,30,Rice,Tamil
F0318,Cuddalore,Cuddalore,Nallur,4.49,27,Groundnut,Tamil
F0319,Cuddalore,Cuddalore,Sethiathope,6.6,28,Rice,Tamil
F0320,Thanjavur,Thanjavur,Ayyampettai,1.62,13,Rice,Tamil
F0321,Cuddalore,Panruti,Kumaratchi,1.09,26,Rice,Tamil
F0322,Thanjavur,Papanasam,Ammapettai,5.4,3,Rice,Tamil
F0323,Cuddalore,Virudhachalam,Nallur,5.28,11,Groundnut,Tamil
F0324,Cuddalore,Cuddalore,Sethiathope,7.39,15,Rice,Tamil
F0325,Cuddalore,Cuddalore,Nallur,5.63,18,Rice,English
F0326,Thanjavur,Papanasam,Ammapettai,7.71,38,Rice,Tamil
F0327,Cuddalore,Panruti,Kurinjipadi,4.73,37,Rice,Tamil
F0328,Cuddalore,Virudhachalam,Kurinjipadi,6.43,6,Rice,Tamil
F0329,Cuddalore,Cuddalore,Kumaratchi,2.24,5,Rice,Tamil
F0330,Cuddalore,Cuddalore,Parangipettai,6.38,29,Rice,Tamil
F0331,Cuddalore,Virudhachalam,Kurinjipadi,5.6,25,Groundnut,Tamil
F0332,Cuddalore,Cuddalore,Nallur,2.51,25,Groundnut,Tamil
F0333,Thanjavur,Papanasam,Thiruvaiyaru,1.3,1,Sugarcane,English
F0334,Cuddalore,Panruti,Nallur,1.49,12,Rice,Tamil
F0335,Cuddalore,Cuddalore,Nallur,3.15,6,Rice,Tamil
F0336,Cuddalore,Cuddalore,Parangipettai,3.6,6,Groundnut,Tamil
F0337,Thanjavur,Orathanadu,Melattur,1.54,20,Rice,Tamil
F0338,Thanjavur,Kumbakonam,Budalur,2.57,20,Rice,Tamil
F0339,Thanjavur,Papanasam,Melattur,5.91,32,Rice,Tamil
F0340,Thanjavur,Thanjavur,Melattur,2.78,26,Sugarcane,Tamil
F0341,Cuddalore,Virudhachalam,Parangipettai,3.73,39,Rice,Tamil
F0342,Cuddalore,Virudhachalam,Parangipettai,1.83,26,Groundnut,English
F0343,Cuddalore,Chidambaram,Parangipettai,3.32,26,Groundnut,Tamil
F0344,Thanjavur,Thanjavur,Budalur,7.57,14,Rice,Tamil
F0345,Cuddalore,Virudhachalam,Kumaratchi,1.54,20,Rice,Tamil
