english,tamil
"suggested to provide mineral mixture like ranmix total, milkmin, gwala etc at recommanded dose along with feed.also, suggested to feed high protienous green fodder like cowpea, berseem, lucern etc.","ரான்மிக்ஸ் டோட்டல், மில்க்மின், குவாலா போன்ற கனிம கலவையை பரிந்துரைக்கப்பட்ட அளவில் தீவனத்துடன் வழங்கவும் பரிந்துரைக்கப்பட்டது. மேலும், கௌபீயா, பெர்சீம், லூசர்ன் போன்ற அதிக புரதச்சத்து கொண்ட பசுந்தீவனங்களை அளிக்கவும் பரிந்துரைக்கப்பட்டது."
asking about the premature fruit dropping of coconut.,தேங்காய் பழம் குறைவதைப் பற்றி கேட்டேன்.
suggested to apply bordeaux mixture. apply borax @ 50 gm/plant per year along with urea & ssp.,போர்டாக்ஸ் கலவையைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது. ஆண்டுக்கு 50 கிராம்/செடிக்கு போராக்ஸை யூரியா மற்றும் எஸ்எஸ்பியுடன் சேர்த்து இடவும்.
asking  about  preservatives  of  tomato squash.,தக்காளி ஸ்குவாஷின் பாதுகாப்புகள் பற்றி கேட்டேன்.
suggested  preservatives  are: 1. benjoic acid &  2.  sulphar  dioxide . these chemicals re used to preserve for severel weeks.,பரிந்துரைக்கப்பட்ட பாதுகாப்புகள்: 1. பென்ஜோயிக் அமிலம் & 2. சல்பார் டை ஆக்சைடு. இந்த இரசாயனங்கள் கடுமையான வாரங்களுக்கு பாதுகாக்க பயன்படுத்தப்படுகின்றன.
asking about a pre emergence weedicide for rice,அரிசிக்கு முன் தோன்றிய களைக்கொல்லி பற்றி கேட்டேன்
suggested herbicide- butachlor ( machete ) which is a  pre-emergence weedicide.,பரிந்துரைக்கப்பட்ட களைக்கொல்லி- பியூட்டக்லர் (மச்சீட்) இது வெளிப்படுவதற்கு முந்தைய களைக்கொல்லி.
asking about the control measures for damping off infestation on biter gourd crops.,பாகற்காய் பயிர்களில் தாக்குதலை தணிப்பதற்கான கட்டுப்பாடு நடவடிக்கைகள் குறித்து கேட்டறிந்தார்.
suggested to apply dithane m- 45 @ 2-3ml/litre of water and also to check irrigation water supply in the field.,dithane m- 45 @ 2-3ml/liter தண்ணீர் மற்றும் வயலில் பாசன நீர் வழங்கலை சரிபார்க்கவும் பரிந்துரைக்கப்படுகிறது.
asking about culture of chitala along with carps.,கெண்டை மீன்களுடன் சிட்டாலாவின் கலாச்சாரம் பற்றி கேட்கிறது.
"suggested that he should go for the single species culture in one pond or he can culture some other species along with chitala, but in the second case, size of other species should be larger than chitala .","அவர் ஒரு குளத்தில் ஒற்றை இன கலாச்சாரத்திற்கு செல்ல வேண்டும் அல்லது அவர் சிட்டாலாவுடன் வேறு சில இனங்களை வளர்க்கலாம் என்று பரிந்துரைத்தார், ஆனால் இரண்டாவது வழக்கில், மற்ற இனங்களின் அளவு சிட்டாலை விட பெரியதாக இருக்க வேண்டும்."
asking about the suitable varieties for transplanted early ahu crops.,நடவு செய்யப்பட்ட ஆரம்பகால அஹு பயிர்களுக்கு ஏற்ற வகைகளைப் பற்றி கேட்டறிந்தார்.
"suggested suitable early ahu varieties are as saket-4, ir-50, govind, ir-36, cauvery, krishna, jaya, ir-8, luit, kopilee.","சாகேத்-4, ஐஆர்-50, கோவிந்த், ஐஆர்-36, காவேரி, கிருஷ்ணா, ஜெயா, ஐஆர்-8, லூயிட், கோபிலீ போன்ற ஆரம்பகால அஹு வகைகள் பரிந்துரைக்கப்படுகின்றன."
asking about the fym or compost requirement in blackgram crops/bigha,உளுந்து பயிர்கள்/பிக்ஹாவில் தொழு உரம் அல்லது உரம் தேவை பற்றி கேட்கிறது
"suggested fym or compost requirement for blackgram crops as 6 quintql/bigha, this not only adds fertility but also improves soil structures.","உளுந்து பயிர்களுக்கு 6 குவின்ட்கியூலி/பிக்ஹா என பரிந்துரைக்கப்பட்ட உரம் அல்லது உரம் தேவை, இது வளத்தை சேர்ப்பது மட்டுமல்லாமல் மண்ணின் அமைப்புகளையும் மேம்படுத்துகிறது."
asking about availibility of quail  birds for commercial purpose,வணிக நோக்கத்திற்காக காடை பறவைகள் கிடைப்பது குறித்து கேட்டனர்
"suggested to contact with  central agricultural university , mizoram for availibility of quail  birds",காடை பறவைகள் கிடைப்பதற்கு மிசோரமில் உள்ள மத்திய வேளாண் பல்கலைகழகத்தை தொடர்பு கொள்ள பரிந்துரைக்கப்பட்டது
asking about the control measures to be taken on bacterial wilt in brinjal crops.,கத்தரிக்காய் பயிர்களில் பாக்டீரியல் வாடுவதை கட்டுப்படுத்தும் நடவடிக்கைகள் குறித்து கேட்டறிந்தார்.
suggested to apply 100 ppm agromycine or streptomycine twice in a week and also to avoid water stagnation in the field.,"100 பிபிஎம் அக்ரோமைசின் அல்லது ஸ்ட்ரெப்டோமைசின் வாரத்திற்கு இரண்டு முறை பயன்படுத்தவும், மேலும் வயலில் தண்ணீர் தேங்காமல் இருக்கவும் பரிந்துரைக்கப்படுகிறது."
asking about an n.g.o which is doing watershed project,நீர்நிலைத் திட்டத்தைச் செய்யும் ஒரு என்.ஜி.ஓ. பற்றிக் கேட்கிறது
suggested to contact deshbandhu club which is situated in cachar district,கச்சார் மாவட்டத்தில் அமைந்துள்ள தேஷ்பந்து கிளப்பைத் தொடர்பு கொள்ள பரிந்துரைக்கப்பட்டது
asking about the how to take control measures of flower and fruit dropping on aonla fruits trees,அயோன்லா பழ மரங்களில் பூ மற்றும் பழங்கள் உதிர்வதை கட்டுப்படுத்தும் வழிமுறைகள் குறித்து கேட்டறிந்தார்
suggested to either spray planofix @ 1ml/4litre of water or apply borax @ 200 g/plant at the base of the tree by making ring .,பிளானோஃபிக்ஸ் @ 1 மில்லி / 4 லிட்டர் தண்ணீரில் தெளிக்க அல்லது மரத்தின் அடிப்பகுதியில் போராக்ஸ் @ 200 கிராம் / செடியை மோதிரத்தை உருவாக்குவதன் மூலம் தெளிக்க பரிந்துரைக்கப்படுகிறது.
asking about with what chemical seed treatment of maize should be done against seed borne  diseases attack.,விதை மூலம் பரவும் நோய் தாக்குதலுக்கு எதிராக மக்காச்சோளத்திற்கு என்ன ரசாயன விதை நேர்த்தி செய்ய வேண்டும் என்று கேட்டனர்.
suggested that the seeds of maize should be treated with  bavistin @ 2 g/ kg of seeds or captaf @ 2- 2.5 g /kg of seeds before or after sowing.,மக்காச்சோளத்தின் விதைகளை விதைப்பதற்கு முன் அல்லது பின் விதைகளுக்கு 2 கிராம்/கிலோ விதைகள் அல்லது கேப்டாஃப் @ 2- 2.5 கிராம்/கிலோ விதைகளுடன் பாவிஸ்டின் கொண்டு நேர்த்தி செய்ய வேண்டும்.
asking about precautionary measure for preventing disease of fish.,மீன் நோய் வராமல் தடுப்பதற்கான முன்னெச்சரிக்கை நடவடிக்கைகள் குறித்து கேட்டறிந்தார்.
suggested to apply lime @ 1000 kg/ hac/yr. one third of the required dose is to be applied  at the time of pond preparation & the remaining portion is to be applied in equal monthly installment. he is also suggested to maintain the water quality properly.,சுண்ணாம்பு @ 1000 கிலோ / ஹேக் / வருடத்திற்கு விண்ணப்பிக்க பரிந்துரைக்கப்படுகிறது. தேவையான அளவுகளில் மூன்றில் ஒரு பங்கு குளம் தயாரிக்கும் போது பயன்படுத்தப்பட வேண்டும் மற்றும் மீதமுள்ள பகுதி சமமான மாத தவணையாக பயன்படுத்தப்பட வேண்டும். நீரின் தரத்தை முறையாக பராமரிக்கவும் அவர் பரிந்துரைக்கப்பட்டார்.
asking about the remedial measures for fruit droping problem in chayote crops.,சாயோட் பயிர்களில் பழம் உதிர்தல் பிரச்சனைக்கான தீர்வு நடவடிக்கைகள் குறித்து கேட்டறிந்தார்.
suggested him to apply cow dung manure @7kg/plant at the base of the plant and spray planofix @2ml/litre of water at 15 days interval.,"செடியின் அடிப்பகுதியில் பசுவின் சாணம் உரத்தை 7 கிலோ/செடிக்கு இடவும், 15 நாட்கள் இடைவெளியில் பிளானோஃபிக்ஸ் @2 மில்லி/லிட்டர் தண்ணீரில் தெளிக்கவும்."
asking about the sowing season of pumkin crops.,பூசணி பயிர்களின் விதைப்பு காலம் பற்றி கேட்டறிந்தார்.
suggested him that pumkin can be grown in two season i.e january to april for summer hervest and september to november for spring hervest.,"பூசணிக்காயை இரண்டு பருவங்களில் அதாவது ஜனவரி முதல் ஏப்ரல் வரை கோடை காலத்திலும், செப்டம்பர் முதல் நவம்பர் வரை வசந்த காலத்திலும் வளர்க்கலாம் என்று அவர் பரிந்துரைத்தார்."
asking about the remedial measures of cutworm infestation in bittergourd crops.,பாகற்காய் பயிர்களில் வெட்டுப்புழு தாக்குதலுக்கு தீர்வு காணும் நடவடிக்கைகள் குறித்து கேட்டறிந்தார்.
suggested him to apply malathion 5%dust @2 g/plant in case of soil application.also suggested him to keep the crops field weeds free to further arrest the pest infestation.,மண்ணைப் பயன்படுத்தும்போது மாலத்தியான் 5% தூசி @ 2 கிராம்/செடிக்கு இட வேண்டும் என்று அவருக்குப் பரிந்துரைத்தார். மேலும் பூச்சித் தாக்குதலைத் தடுக்க பயிர்களின் வயல்களில் களைகள் இல்லாமல் இருக்குமாறு அவருக்குப் பரிந்துரைத்தார்.
asking about fertilizer dose of coconut ( 7 years old ),தென்னையின் உர அளவைப் பற்றி கேட்பது (7 வயது)
"suggested to apply 1500 g urea, 2500 g ssp and 1750 g mop per plant along with  50 g borax.","ஒரு செடிக்கு 1500 கிராம் யூரியா, 2500 கிராம் எஸ்எஸ்பி மற்றும் 1750 கிராம் துடைப்பம் மற்றும் 50 கிராம் போராக்ஸ் ஆகியவற்றைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது."
asked about koleroga disease of arecanut,பாற்கடலின் கொலரோகா நோய் பற்றி கேட்டார்
suggested to apply bordeaux mixture,போர்டாக்ஸ் கலவையைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது
asked about control of papaya leaf curl,பப்பாளி இலை சுருட்டை கட்டுப்படுத்துவது குறித்து கேட்டனர்
suggested to apply rogor@1 ml/litre of water,ரோகோர்@1 மில்லி/லிட்டர் தண்ணீருக்கு பயன்படுத்த பரிந்துரைக்கப்படுகிறது
asking about fertilizer dose and spacing of papaya.,பப்பாளியின் உர அளவு மற்றும் இடைவெளி பற்றி கேட்டறிந்தார்.
"suggested to apply 250 gm urea ,700 gm ssp and 200 gm mop and 5 kg fym.spacing 2mt*2mt.","250 கிராம் யூரியா, 700 கிராம் எஸ்.எஸ்.பி மற்றும் 200 கிராம் துடைப்பான் மற்றும் 5 கிலோ ஃபிம். இடைவெளி 2மி.*2மி.டி."
asking for the fertiliser dose and its method of application of bottle gourd for a land of 1 bigha.,உர அளவு மற்றும் 1 பிகா நிலத்திற்கு குப்பி பூசணியைப் பயன்படுத்துவதற்கான முறையைக் கேட்கிறது.
"suggested to apply 8 kg of urea,46 kg of single super,24 kg of potash along with 300 kg of fym as basal dressing for a land of 1 bigha. 4 kg 0f urea to be top dressed at flowering stage and again 4 kg 0f urea to be top dressed at fruit set.","1 பிகா நிலத்திற்கு 8 கிலோ யூரியா, 46 கிலோ சிங்கிள் சூப்பர், 24 கிலோ பொட்டாஷ் மற்றும் 300 கிலோ ஃபிம் ஆகியவற்றை அடியுரமாக இட வேண்டும். 4 கிலோ 0f யூரியாவை பூக்கும் நிலையிலும், மீண்டும் 4 கிலோ 0f யூரியாவை காய்கள் அமைக்கும்போதும் மேல் உடுத்த வேண்டும்."
asked about control of beetle in ridge gourd,முருங்கைக்காயில் வண்டு கட்டுப்படுத்துவது குறித்து கேட்டனர்
suggested to apply malathion 50 ec @1 ml/2.5 litres water + molasses @10 gm /litre water,மாலத்தியான் 50 இசி @1 மிலி/2.5 லிட்டர் தண்ணீர் + வெல்லப்பாகு @10 கிராம்/லிட்டர் தண்ணீர்
asked about control of khaira disease in rice,அரிசியில் உள்ள கைரா நோயைக் கட்டுப்படுத்துவது குறித்து கேட்டறிந்தார்
suggested to apply znso4 (5 kg) and lime (2.5 kg) in 1000 litres water after 10 days of sowing,விதைத்த 10 நாட்களுக்குப் பிறகு 1000 லிட்டர் தண்ணீரில் znso4 (5 கிலோ) மற்றும் சுண்ணாம்பு (2.5 கிலோ) இடுவதற்கு பரிந்துரைக்கப்படுகிறது.
asking about age of castration in goat.,ஆட்டின் காஸ்ட்ரேஷன் வயதைக் கேட்கிறது.
suggested to castrat within 1-1and 1/2 months.,1-1 மற்றும் 1/2 மாதங்களுக்குள் காஸ்ட்ராட் செய்ய பரிந்துரைக்கப்படுகிறது.
asking about some early variety of cauliflower,சில ஆரம்ப வகை காலிஃபிளவர் பற்றி கேட்டேன்
"early kuwari,pusa deepali","ஆரம்ப குவாரி, பூசா தீபாலி"
asked for the fertilizer dose of sali rice semi dwarf var,சாலி அரிசி அரை குள்ள வர் என்ற உர அளவைக் கேட்டார்
suggested to apply 6kg urea 18 kg ssp and 4kg mop during final land preparation and 6 kg urea during flower initiation,இறுதி நிலத்தை தயாரிக்கும் போது 6 கிலோ யூரியா 18 கிலோ எஸ்எஸ்பி மற்றும் 4 கிலோ துடைப்பம் மற்றும் பூ துவக்கத்தின் போது 6 கிலோ யூரியா பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about treatment of caugh in goat.,ஆடு கசிவு சிகிச்சை பற்றி கேட்டேன்.
suggested to adminster cflon powder @20gm thrice daily by mixing with gur.,cflon தூள் @20gm தினமும் மூன்று முறை குர் உடன் கலந்து கொடுக்க பரிந்துரைக்கப்படுகிறது.
asked about the suitable variety of brinjal for assam condition,அஸ்ஸாம் நிலைக்கு ஏற்ற கத்தரி வகை பற்றி கேட்டார்
"suggested to use following varieties, pusa purple kranti, pusa purple long, pusa purple cluster, borbengena etc","பின்வரும் வகைகளைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது, பூசா ஊதா கிராந்தி, பூசா ஊதா நீளம், பூசா ஊதா கொத்து, போர்பெங்கேனா போன்றவை"
asking about the package of practices for brinjal.,கத்தரிக்காய்க்கான நடைமுறைகளின் தொகுப்பு பற்றி கேட்கிறது.
explained about the package of practices for brinjal.,கத்தரிக்காய்க்கான நடைமுறைகளின் தொகுப்பு பற்றி விளக்கினார்.
asking for the control measure of fruit rot in coconut.,தென்னையில் பழ அழுகலை கட்டுப்படுத்த நடவடிக்கை எடுக்க வேண்டும்.
suggested mr.majumder to apply bordeaux mixture @ 1% i.e 10ltrs. in trench system around the plant to get rid off this disease.,mr.majumder போர்டாக்ஸ் கலவையை @ 1% அதாவது 10 லிட்டர்கள் பயன்படுத்த பரிந்துரைத்தார். இந்த நோயிலிருந்து விடுபட ஆலையைச் சுற்றி அகழி அமைப்பில்.
asking about the post flood variety of paddy.,வெள்ளத்திற்குப் பிந்தைய நெல் ரகத்தைப் பற்றி கேட்டேன்.
suggested to collect luit or kapili variety of paddy.,லூயிட் அல்லது கபிலி நெல் வகைகளை சேகரிக்க பரிந்துரைக்கப்பட்டது.
asking about kisan credit card.,கிசான் கிரெடிட் கார்டு பற்றி கேட்கிறேன்.
explained details about kisan credit card and suggested him to approach nearest nationalised bank.,"கிசான் கிரெடிட் கார்டு பற்றிய விவரங்களை விளக்கி, அருகில் உள்ள தேசியமயமாக்கப்பட்ட வங்கியை அணுகுமாறு அவருக்கு பரிந்துரைத்தார்."
asked about te controlmeasure of cutworm in bottle gourd,குப்பி பூசணிக்காயில் வெட்டுப்புழுவைக் கட்டுப்படுத்தும் நடவடிக்கை பற்றிக் கேட்டனர்
suggested to incorporate malathion 5% dust in the soil around the plant,செடியைச் சுற்றியுள்ள மண்ணில் மாலத்தியான் 5% தூசியைச் சேர்க்க பரிந்துரைக்கப்படுகிறது
asking about the the remedial measures for browning of leaves tip in cucumber crops.,வெள்ளரி பயிர்களில் இலைகளின் நுனி பழுப்பு நிறமாக மாறுவதற்கான தீர்வு நடவடிக்கைகள் பற்றி கேட்டறிந்தார்.
suggested him to broadcast urea fertilizer@ 15 kg/bigha followed with light watering and loosening oe soil.,யூரியா உரத்தை @ 15 கிலோ/பிக்ஹா தொடர்ந்து லேசான நீர்ப்பாசனம் மற்றும் மண்ணைத் தளர்த்தவும் அவருக்குப் பரிந்துரைக்கப்பட்டது.
asking about the cultivation practice of potato.,உருளைக்கிழங்கு சாகுபடி நடைமுறை பற்றி கேட்டறிந்தார்.
explained in details about the cultivation practice of potato.,உருளைக்கிழங்கு சாகுபடி முறை பற்றி விரிவாக விளக்கினார்.
asking about the control measure of control measure of downy mildew in pumkin.,பூசணிக்காயில் பூஞ்சை காளான் கட்டுப்பாட்டு அளவீட்டின் கட்டுப்பாட்டு அளவைப் பற்றி கேட்கிறது.
suggested to apply indofil m 45 @ 2gms/liter at 12 days interval as folliar spray.,இந்தோஃபில் மீ 45 @ 2 கிராம்/லிட்டருக்கு 12 நாட்கள் இடைவெளியில் ஃபோலியார் ஸ்ப்ரேயாகப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about treatment of bloat.in cow.,bloat.in பசுவின் சிகிச்சை பற்றி கேட்கிறேன்.
suggested to administer rumen bolus @2bolustwice daily for 3days.,3 நாட்களுக்கு தினமும் 2bolustwice rumen bolus ஐ நிர்வகிக்க பரிந்துரைக்கப்படுகிறது.
asked about the cultivation practice of bitter gourd,பாகற்காய் சாகுபடி முறை குறித்து கேட்டறிந்தார்
"answered in detail about varieties,seed rate, fertilizer dose etc","ரகங்கள், விதை விகிதம், உர அளவு போன்றவை பற்றி விரிவாக பதிலளித்தார்"
asking about the fungal disease of pineapple,அன்னாசிப்பழத்தின் பூஞ்சை நோய் பற்றி கேட்டேன்
spray mancozeb@2gm/lt of water,மான்கோசெப்@2 கிராம்/லி தண்ணீர் தெளிக்கவும்
asking for the fertiser dose of french bean.,பிரஞ்சு பீனின் உர அளவைக் கேட்கிறது.
"suggested mr.hajam to apply 8kg of urea,33kg of ssp,14kg of mop along with 300kg of fym.this fertiliser dose suggested is for 1 bigha of land.","ஹாஜாம் 8 கிலோ யூரியா, 33 கிலோ எஸ்எஸ்பி, 14 கிலோ துடைப்பம் மற்றும் 300 கிலோ ஃபைம் ஆகியவற்றைப் பயன்படுத்த பரிந்துரைத்தார். இந்த உர அளவு 1 பிகா நிலத்திற்கு பரிந்துரைக்கப்படுகிறது."
asking the control measure for bacterial wilt in potato.,உருளைக்கிழங்கில் பாக்டீரியல் வாடுவதற்கான கட்டுப்பாட்டு நடவடிக்கையைக் கேட்கிறது.
"suggested mr.koiri to drench the soil at the base of the plant with 100ppm of streptomycin. also suggested to apply a mixture of 1 gram asafoetida along with 5 gram of turmeric powder in 10 litres of water and to drench the soil 3 times at an interval of 15,30 and 45 days after transplanting.","mr.koiri 100ppm ஸ்ட்ரெப்டோமைசின் கொண்டு செடியின் அடிப்பகுதியில் மண்ணை நனைக்க பரிந்துரைத்தார். மேலும் 1 கிராம் சாதத்துடன் 5 கிராம் மஞ்சள் தூள் கலவையை 10 லிட்டர் தண்ணீரில் தடவவும், நடவு செய்த 15,30 மற்றும் 45 நாட்கள் இடைவெளியில் 3 முறை மண்ணை நனைக்கவும் பரிந்துரைக்கப்படுகிறது."
asking the procedure of seed treatment in potato.,உருளைக்கிழங்கில் விதை நேர்த்தி செய்யும் செயல்முறையை கேட்கிறது.
"suggested mr.koiri to cut into pieces longitudinally,the bigger sized tubers having 2-3 eyes in each piece and then to dip the cut pieces in mancozeb @ 5 gram in 1 litre of water for about 10 mins. after that ,the seeds are to be spread thinly and dried under shade for 48 hours or should be covered with moist gunny bags for 2-3 days for suberization.","mr.koiri ஒவ்வொரு துண்டிலும் 2-3 கண்கள் கொண்ட பெரிய அளவிலான கிழங்குகளை நீளவாக்கில் துண்டுகளாக வெட்டவும், பின்னர் வெட்டப்பட்ட துண்டுகளை 5 கிராம் மான்கோசெப்பில் 1 லிட்டர் தண்ணீரில் சுமார் 10 நிமிடங்களுக்கு நனைக்கவும். அதன் பிறகு, விதைகளை மெல்லியதாக பரப்பி 48 மணி நேரம் நிழலில் உலர்த்த வேண்டும் அல்லது 2-3 நாட்களுக்கு ஈரமான கன்னி பைகளால் மூடி வைக்க வேண்டும்."
asking about some variety name of potato,உருளைக்கிழங்கின் சில வகையான பெயர்களைக் கேட்டேன்
"suggested in details regarding variety like-khufri jyoti,khufri sindhuri,khufri megha","குஃப்ரி ஜோதி, குஃப்ரி சிந்துரி, குஃப்ரி மேகா போன்ற வகைகளைப் பற்றிய விவரங்களில் பரிந்துரைக்கப்பட்டது"
asking about the seed treatment of potato.,உருளைக்கிழங்கு விதை நேர்த்தி பற்றி கேட்டேன்.
suggested to treat the seeds in a 0.1% captaf for 24 hrs. and dry the srreds in shade.,விதைகளை 24 மணிநேரத்திற்கு 0.1% கேப்டாப்பில் சிகிச்சை செய்ய பரிந்துரைக்கப்படுகிறது. மற்றும் srreds நிழலில் உலர்த்தவும்.
asking about treatment of diarrhoea in cow.,பசுவின் வயிற்றுப்போக்கு சிகிச்சை பற்றி கேட்டேன்.
suggested to administer neblon powder @50gm twice daily for 5days.,நெப்லான் பவுடர் @50gm தினமும் இரண்டு முறை 5 நாட்களுக்கு கொடுக்க பரிந்துரைக்கப்படுகிறது.
asking that how to get crop loan from bank,வங்கியில் பயிர்க்கடன் பெறுவது எப்படி என்று கேட்டார்
suggested to contact with any nationalized bank and marketing and recovery officer located in his area,தேசியமயமாக்கப்பட்ட வங்கி மற்றும் அவரது பகுதியில் அமைந்துள்ள சந்தைப்படுத்தல் மற்றும் மீட்பு அலுவலரை தொடர்பு கொள்ளுமாறு பரிந்துரைத்தார்
asking about the recommended fertilizer dose for cabbage cultivation,முட்டைக்கோஸ் சாகுபடிக்கு பரிந்துரைக்கப்பட்ட உரத்தின் அளவைக் கேட்டறிந்தார்
"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha","யூரியா @25கிலோ/பிக்ஹா,எஸ்எஸ்பி@41கிகி/பிக்ஹா,மாப்@13கிகி/பிக்ஹா மற்றும் ஃபிம்@2 குவிண்டில்/பிக்ஹா ஆகியவற்றைப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது."
asking about the recommended fertilizer dose for cabbage/bigha,முட்டைக்கோஸ்/பிகாவிற்கு பரிந்துரைக்கப்பட்ட உரத்தின் அளவைப் பற்றி கேட்கப்பட்டது
asking about the control measure to control late blight disease infestation in potato,உருளைக்கிழங்கில் தாமதமான ப்ளைட் நோய்த் தாக்குதலைக் கட்டுப்படுத்துவதற்கான கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்டறிந்தார்
suggested to apply dithane m-45@2gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval for 3-4 times,டித்தேன் எம்-45@2கிராம்/லிட்டர் தண்ணீரை ரிடோமில் எம்இசட்-72@2கிராம்/லிட்டர் தண்ணீருடன் 7-10 நாட்கள் இடைவெளியில் 3-4 முறை பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking for some good varieties of boro rice along with the time of planting which is best suited for his zone.,நடவு செய்யும் நேரத்துடன் தனது மண்டலத்திற்கு மிகவும் பொருத்தமான போரோ அரிசியின் சில நல்ல ரகங்களைக் கேட்கிறார்.
"suggested the following: boro-1,boro-2,culture-1,krishna,ir-50,cauvery,banglami,bishnuprasad and jyotiprasad. these suggested varieties are best suited for his barak valley zone from where he belongs and all these varieties can be planted in december/january.","பின்வருவனவற்றைப் பரிந்துரைத்தார்: போரோ-1, போரோ-2, கலாச்சாரம்-1, கிருஷ்ணா, ஐஆர்-50, காவிரி, வங்காளமி, பிஷ்ணுபிரசாத் மற்றும் ஜோதிபிரசாத். இந்த பரிந்துரைக்கப்பட்ட ரகங்கள் அவர் சார்ந்திருக்கும் பராக் பள்ளத்தாக்கு மண்டலத்திற்கு மிகவும் பொருத்தமானது மற்றும் இந்த வகைகள் அனைத்தையும் டிசம்பர்/ஜனவரி மாதங்களில் நடலாம்."
asking about the control measure of late blight of potato.,உருளைக்கிழங்கின் தாமதமான ப்ளைட்டின் கட்டுப்பாட்டு நடவடிக்கை பற்றி கேட்கிறது.
suggested to apply indofil m-45@2.5ml/lit of water or ridomil mz-72@2ml/lit of water.,indofil m-45@2.5ml/lit water அல்லது ridomil mz-72@2ml/lit தண்ணீருக்குப் பயன்படுத்த பரிந்துரைக்கப்படுகிறது.
asking about the fertilizer dose of cauliflower.,காலிஃபிளவரின் உரத்தின் அளவைப் பற்றி கேட்கிறார்.
